Modelo de ising,Fecha, 24-03-2018 16:46:10 
 ,Tiempo de ejecución, 103.43 
 Parámetros 
 n, J, B, pasos, frecuencia 
  16, 1, 0, 1000000, 10000 
 
T,M,E,CV 
0.1, 6.640625021023120357861835082929361912525806749118786944869035190195120002499866e-01,-6.600000082798751258749040528967664989397341109177165235000745553156655314717285e-01, 4.239295877347677015066340401945804961238961693235408609965710599600212438961316e-05 
0.2, 6.640624999999999999999326426540662053186194389435805219180648943178104021793727e-01,-6.600000000000000310858998198932021028757266621945577676554474293506051172797906e-01, 1.080033787017397688705843440902435431182987595186289953290336583257368895419209e-14 
0.3, 6.64062499999998215693173429565218112888995108597626452906072110551214916088737e-01,-6.599999999999909416468373374106688848704840870046392526627039509803081834332183e-01, 1.144128639414148545721184330286269916505868175356088777549953362785353203478167e-12 
0.4, 6.054687544200838210134180059896835185539549909565505984181453490256523017577636e-01,-4.200000181046858003308652413978226774599000407878716574664530891425667290775174e-01, 6.952121243086374546967799835223338168456206400786967623774182770616399573565364e-06 
0.5, 6.054687499945016106235973812022659876673432474733437122089774888810964777592102e-01,-4.19999999981232207041215870477489986152607495451241944595945917207455662898143e-01, 7.687279858669789032950382205674495845623529247067014949542707417542399441802119e-10 
0.6, 6.054687498330339370874665749615036335429103981180694703501174829777203398048293e-01,-4.199999994300890641186080883073926880715226783330248495699037959022233180355225e-01, 1.621082282962806938844909488574282721070248074941422777379573594237137252400474e-08 
0.7, 6.054687480880112402749124322548592537859659500335966936692941532136775845118845e-01,-4.199999934737256953066707443927167640732846830834312103617754800390993524112927e-01, 1.363882200148243945553934030085536084944808903131270484149771453354791829927301e-07 
0.8, 6.054687380969808202853287966951800319983517074521819973410733386845012295794588e-01,-4.199999593702769953995868029338871266852605933927177105250803926667801444088162e-01, 6.501469940539513672991841360152554399860365522230170269452804521954340551562721e-07 
0.9, 6.054687006320307244042863181837711451068928863760777226319531982162607451635248e-01,-4.199998314777552811004180899281175310033905218627485143050375472038545413092682e-01, 2.131424300885152286213423068853862361877791432694328115609134122501705210536302e-06 
1.0, 6.054685958567526489962364527372984079354977990488981399251182060951256192826348e-01,-4.199994737320627502797529234377407237843561395160841576307782597497748731218277e-01, 5.396633028234289010664301805644776114754762213821378315179057297817431073983217e-06 
1.1, 6.05468358257468705189277221711811792851875757765542195248749012736402438851107e-01,-4.199986620435107670074991982110993501864792980451938076009150138810868461034109e-01, 1.136356137340379026064398180503224008188043198120115528927751361252809234355237e-05 
1.2, 6.054678960565845633206110091554455405260459924627500834483082266275102006831355e-01,-4.199970813894603531384398720465390589072245048487415193987384914536471327285705e-01, 2.091619479266636758002555871683620597253370090269107938415497388590488808333068e-05 
1.3, 6.054670937554319481448647725897078690354955874750702979639106511624552299373399e-01,-4.199943324628913459693275612131727542901836890692362002638194904434596652278527e-01, 3.485908055584944936655889658195793094643840596865817633569587831986572083145623e-05 
1.4, 6.054658143340228590466074451989326041858799460824041924326882456072465878526089e-01,-4.199899351730364459969513104299214095658160167483213829905492225714892879801792e-01, 5.40559017139159756770918943588547010108995691838237716763311459962753582714128e-05 
1.5, 6.054638904165828133974785269865706982085206585846715734828027438470009855393998e-01,-4.199832877911778953588704726238064225369747032745158429880066773143991395636611e-01, 8.042423624985207944441398344639246420005684554955938436622982101107357764738165e-05 
1.6, 6.054610432257391531389356390118943561730888742088393010396536209098097574150477e-01,-4.199733390378504290380792702303091619156759086797021138442140785733314858108515e-01, 1.231181245309919242523144852696362917322068950055571198737394929487529910279575e-04 
1.7, 6.054563995387248013801911010540512356775221701595949682599645813514071887900145e-01,-4.199566542688055426469628734398248845092787846793544436304597240265914195376587e-01, 2.308740397840076577113651886438058889983397567983146554060542208087065121240306e-04 
1.8, 6.054461522514638046579374072668117862580201354003473534320998529312603816456962e-01,-4.199180316995408136599131680796141465578663419892629293504537920935248676308365e-01, 6.317817907853205651957604065249702884673391422264663426760120997630367222754688e-04 
1.9, 6.054140528565280645428559130056010979676707103947851356376007589801063289027984e-01,-4.197922396059242306896481650875361255090019371870619025283981264751674436170395e-01, 2.239947257442214838673776271337325889600688534092376212687613166715256858151008e-03 
2.0, 6.052984441800468920943618368792219749885953360860270579553784026648165138358724e-01,-4.193309227968821287158670043243982459121467532710068724016212477324740733228513e-01, 8.212110935261200312070239137295693034042368533691520836156483653093297817467629e-03 
2.1, 6.04894619050588635002440873410965086273038701279698088299195756123542042749665e-01,-4.177073145140214179478644071361301555318473402493329703983844882929719532888823e-01, 2.790618114776661830618441280371670274003055090501495586985440725205358963683483e-02 
2.2, 6.036189880522252275282748332773586897885136913071825584892098109205336002291486e-01,-4.125589407095699013526532187713739559246602468419128399782656876979792086189928e-01, 8.394266801713881842750136712445987879404795332148578482671106760337008713978479e-02 
2.3, 6.001420899982361471775150561741049031076054716301926852204018154791604832136456e-01,-3.984917170922445185941344408057176128496804434754620581627219231442169526505627e-01, 2.119235650199394238284297972136083305939695971157261088834153698484888271864469e-01 
2.4, 5.92553408980613357098995274112738163001630875272562906965738824172387982002493e-01,-3.677291344779049049856383823984992689359865512350770916162582789972666968928315e-01, 4.076061000629724798978961353453196271780182940818163306419718162994987818012007e-01 
2.5, 5.806385093265132087277079149154352778009787165956408717736518120844205377750258e-01,-3.193425074612597742263072602442319494789397270012420066998595716546134283537256e-01, 5.313299653136688009715184604948758962655592494045457301128840412627978071688113e-01 
2.6, 5.681391806019009828861273036102477967982703428329208115433916279226704751649834e-01,-2.684808803958483695960866526920672806908646571433057356206474910483393812942036e-01, 4.557649685560049181983319162357739235543954897466140892726651915378689863928231e-01 
2.7, 5.590077107771868722595220322257790424387932338774414265196394962617177134004716e-01,-2.312249404073495173242387163322261331350199726418744042529271573869448759197344e-01, 2.886634578180911254896164871145927299198006383323174750658597627626009860385254e-01 
2.8, 5.536396813216768165668343116559817677965069014269055348142251141339364935274797e-01,-2.092436070017901093826830639771212439439359452695104793387291593516477672610389e-01, 1.623841797529183799159571101578691688219695404883457191305394403840255907954953e-01 
2.9, 5.505139395780541089234092917037341422941699163893629188364690223498959136468998e-01,-1.964074397092874889030312867845670054449701575281398486281381346217009270750894e-01, 1.057093747833285907831485463491757803199792302449105589042496695554734940012389e-01 
3.0, 5.479004988767167036901369585674702251395175089021444156512477740149310623068729e-01,-1.857483473714529410165564980279866609805433297194547153031684851171427041754718e-01, 1.20781387285028351648601817286919888278070571767044681982576196458631965811948e-01 
3.1, 5.437027129865928066854383864422947092536694309820302504045768868708076508619423e-01,-1.688778866320462097474990795272212401149406281823675829168017767326208635010997e-01, 2.381303309767207228710968032888013607881534467547444827108288247571694981125756e-01 
3.2, 5.347134724525515590108297718049589977145655172198203598560004260028043032322912e-01,-1.330224079959991524971181112028328560544356131742388574106639279300879926427958e-01, 5.05035500879840154833909804902870733080258554959266919487766926198071423255234e-01 
3.3, 5.176062387851269544879985182809374949004924232159298785857082095106988839912121e-01,-6.494196304489525451859192357534815810036990215378304690610444900021497816384283e-02, 8.487116653232895789688079582304577633850504343528414807104383140396705696916453e-01 
3.4, 4.940222582423700792311408598266154991726474065163673834659869494839773343256742e-01,2.88703043589269500649773937280031637140465959966055947015007838588365750130671e-02, 9.638486701834500115521100903287605953058381422306929405971826415165323729172577e-01 
