Modelo de ising,Fecha, 24-03-2018 16:56:54 
 ,Tiempo de ejecución, 390.8 
 Parámetros 
 n, J, B, pasos, frecuencia 
  16, 1, 0, 1000000, 10000 
 
T,M,E,CV 
0.1, 6.093750000000000000000000000000000000000000000000000000001513153455170044989231e-01,-4.40000000000000002220446049250313080847263336181640625000619787655237650548044e-01, -1.955413608811795332864099478289406970539653023893074467596225306338507151383541e-13 
0.2, 5.703125000000000000000000152843346299312523131494325598990409818693408505738669e-01,-2.800000000000000266453526536083916143655599437031990086768451976931515099464157e-01, -2.287947602733173806464844099102478567741710379557953960340634328434950085388268e-14 
0.3, 5.558695399577242770613418619069322523743302169923231586163818521281014126461581e-01,-2.208416356668386539947876755526585326611014989017465893709680434027434584276626e-01, 1.696889236687637104336742641451383165260407084336968657487783050190678852282737e+01 
0.4, 5.312500000000000998772374912591296500783958509657038170639775050188735757051142e-01,-1.20000000000000404656272665696848368120905215790598807087518019669100013338062e-01, 1.058034432103881198953634388238237811719314448764886286036786723235454179403238e-13 
0.5, 5.312499999999999999136381660136241954270948221988304257628885349278413768238187e-01,-1.199999999999999952053698294911785660932330875275662195362971535987322849035763e-01, 7.167837253242388041920963242500098032896466316680406114682896075342066546520145e-16 
0.6, 5.312499999999999203645926549943585777342498046959550138692672017662401447038774e-01,-1.199999999999996693724794163562880747618171136638870481934646724760933876316651e-01, 1.903403750638190682497154988542531500437210117909444187360436403080028888526263e-14 
0.7, 5.312499999999895573938789119127534022813075979969260130396121574485486619825675e-01,-1.199999999999572226444359246968313425371358953499869523890259676610466417322164e-01, 1.788084482201089704006468386521375519304100301894130107013269547342060631753117e-12 
0.8, 5.312499999995953414573798865141394977033670096460434642352624531784879005914766e-01,-1.199999999983425141685359167705490675390613536723388971950664186536386363571123e-01, 5.304003086812419028921756689148928368142222616586012427111006946099535791243178e-11 
0.9, 5.312499999930423486710778462109104893386775042288307926958947321968612982934286e-01,-1.199999999715014557158427614577291933395151138702293885208306640690600986353528e-01, 7.206394200837684915436187377180828580755370695647198956787237393696430766730141e-10 
1.0, 5.312499999322103547096850446161293185981336538697071128331172346296656401754791e-01,-1.199999997223336084499778625370926361442006104276731531366337752900155483927245e-01, 5.69301794724246563487541397125562796550352213975675019969770884289507836212622e-09 
1.1, 5.312499995610717442194336709354275216837602124243577389243335515447648321186393e-01,-1.199999982021498598819083356020852648046073079741497765447121784060793491245146e-01, 3.064912910474007750262330887377201855596333702604601268859026521578803684117471e-08 
1.2, 5.312499978733366471549154242602611599212702421021033991519334989723833770905392e-01,-1.199999912891869023056420409649403143753385777739368272503304141899754188819311e-01, 1.279919045312663765211097080925786446676892867477979619672228036670297908324802e-07 
1.3, 5.312499913845016941033390111182723618731991269187993019294638536717486122166562e-01,-1.199999647109189346063866443777536959377896408669932123866316392596694058657496e-01, 4.759585500848449061428330953958207192645160339722409738872442448216772885330296e-07 
1.4, 5.312499672141766877364132139315635222852170334073576086229646572011789361641624e-01,-1.19999865709267708527463636807046912897629694569834895165111918673454525425909e-01, 1.798656692115790355795480032430131103005549971587278063908273974908334078601018e-06 
1.5, 5.312498725861633436869410374545225326277885646563008688490648875453334768444901e-01,-1.199994781129250513008412515726200559535522559705405557836199893125149522694829e-01, 7.172743212103802776341131038004996151902929486846956277735903382505892588199918e-06 
1.6, 5.312494953847132866171413777866947407562652696243588437192888891366941904813321e-01,-1.199979330957856175429916327396417416300120763502119192084019933734561924329038e-01, 2.826720322155682012953401294596208775001914238052947679492730996200701985123259e-05 
1.7, 5.312480747631902901001296787093247945865276035988145706023883055501288237683388e-01,-1.199921142300274238094721794982516212964915780713786749257869439539266392649053e-01, 1.027268297249500299649003348642606020629584510731222624763478697746885651004684e-04 
1.8, 5.312432379326185938461178544319101269384661373825729278307693091185272500850783e-01,-1.199723025720057559535391852645973232088767264889815035008863542230458945400454e-01, 3.343576799861455656614436126127002110996633558711894338927180162919691751580484e-04 
1.9, 5.312285167792390014253775862183839148901153291334354833728866846580265875895121e-01,-1.199120047277629453996352776277322726105843242995692589807744404646697875905649e-01, 9.721808606625943666445668598061769694322001155423381844832127229382588361149089e-04 
2.0, 5.311882901155814517193473443959847502984070133713810180115130264420873326685981e-01,-1.197472363134216218075910576102106636155886454419480100607760001691754320159463e-01, 2.544512986196902203019173770807263864984654376017112313423770577678961109896576e-03 
2.1, 5.310887127937574179885331944730069291984169092131147807195585772663741633410329e-01,-1.193393676032303796555842128987368035421037443790141243946244430159244671355261e-01, 6.052122394021143805832356893370680082818481779104770507503763809606470794703306e-03 
2.2, 5.308635247939588355292377331720971666258622763265021906279663270496293893113008e-01,-1.184169975560553859234104417321841628187851149273691679874325905714418064915863e-01, 1.318157572591395300089590478768206923613748219461774483448530601260964282837885e-02 
2.3, 5.303957578131333755567052592853103371489743760343528877522571836511047578939116e-01,-1.165010240025943019195319255398142571053397755597761769062678475410448897419531e-01, 2.638798406940092827841224565523581817741789651475125814179488395658672986545028e-02 
2.4, 5.295024976123888778429257471704219824963418296468071812726956090760846121850424e-01,-1.128422302203448393669220127958291610076043985721641926516442190811642128182152e-01, 4.847732622901299495335095979503278614270406241444458964352131770870845232341783e-02 
2.5, 5.279419094219006134645525656856170612405801398993812205581970755903645580338025e-01,-1.064500609921049086178743996272697580543757403949244131278628090537358898978943e-01, 8.110008003073835365838477934070975230315688147043308228873918921790983658125136e-02 
2.6, 5.254737379791897395486276912552900083260206896968256898376050799831282713386209e-01,-9.634043076276116928689087065264531116030972170860180935961306055196288967257716e-02, 1.219459172333090929368005902594252990294156660222985484701992000290843023350614e-01 
2.7, 5.219896441027818286697811601970587434092600183219715932533459629108910336672718e-01,-8.206958224499436664956781885724639072300186517259936655938360806765800156090278e-02, 1.623585494177773179881357701626150309563475840193688841970248250698020024964354e-01 
2.8, 5.17655704474567952152628831076610382117020296227008897098340383519386823863827e-01,-6.431776552783032883607938425498775318016032924265796539620065713472389208149016e-02, 1.894236547397828925951679613279234481058944652142921426693691513511013401414305e-01 
2.9, 5.129279842661818026786857158256309092206999126441151529787286642173341008924096e-01,-4.495302355428066102770574857835648719206956064796098106295157669699741754124636e-02, 1.938282413913779695443772836652191867587957752164916254453250354373108819220468e-01 
3.0, 5.083709227525619064730527341831781973035387960170266442415317916201575323229076e-01,-2.628729959449356659031597179232028309944405154271786972152370175459372714775308e-02, 1.764738006158614152733571202555259409458697250398468502683708207595545421381437e-01 
3.1, 5.04414347060147147050733218868263108585474642909362900819772991117989653668974e-01,-1.008116555836271236171794631853451940407962594339085205459705299411490309292787e-02, 1.464478966850084969809032710063653208646274340043900922058699003037486772885069e-01 
3.2, 5.01240455455815645873307788619533463647238157275505223740782316240590499758689e-01,2.919094452979116168201644083844880502453156177493979642756430474630832175862669e-03, 1.137816817359103678908590277524719866999773692984471181550206956497745247407108e-01 
