Densidad de estados ,Tiempo de ejecución, 87.72 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  10, 1, 0, 1000000, 10000, 40 
  E_i, E_f, S, DOS 
  -2.0, -1.95, 975.4295349121094, 4.204017331502231966104698354550931171504250259657815206293539958736212301463474e+423 
-1.95, -1.9, 980.0657196044922, 4.336445841271045794205191152613189372990690602807405004358213098636162038808721e+425 
-1.9, -1.85, 980.7699279785156, 8.76935674112868771640806962159689386091838853699357428456002662757656320937173e+425 
-1.85, -1.8, 984.250244140625, 2.847408926527526220891169015616484093743013126628959562795165346674134944414587e+427 
-1.8, -1.75, 988.1669158935547, 1.430338313430562235896926533000889879384429315274610247217522926167670880663201e+429 
-1.75, -1.7, 989.7799530029297, 7.17747829147598242882396002156104234155523383819292575313752352062628362176531e+429 
-1.7, -1.65, 991.7648620605469, 5.224045350436165584088148091423480739582517257246072354761415158732926173301007e+430 
-1.65, -1.6, 993.5764923095703, 3.19733365332093225622421821228096197258235275386631524356936788546647719701018e+431 
-1.6, -1.55, 997.2512817382812, 1.261039614781744925840462565746255792089872166918276471383944127520891557966068e+433 
-1.55, -1.5, 998.8675079345703, 6.348145151754248643093007362948545457191303831191558644661580201904535756233971e+433 
-1.5, -1.45, 1000.6161499023438, 3.648147640158908989236811996478126976019952683331743282320183642511434082749068e+434 
-1.45, -1.4, 1002.3442993164062, 2.053989221642762314623724865822930954526380132412374921407719099805507003100487e+435 
-1.4, -1.35, 1005.8258819580078, 6.677752057691420733920371829561551505932945740921964002027366504187932833485496e+436 
-1.35, -1.3, 1007.2612457275391, 2.80543915759106132546836492003623996293604132494765120029278220367003595308735e+437 
-1.3, -1.25, 1008.9855651855469, 1.573487438221445812238996858220221049428787857475158259065412255621130644475066e+438 
-1.25, -1.2, 1010.6677703857422, 8.461273162783940432555679274615440158429392599679035350730137927708497613358212e+438 
-1.2, -1.15, 1014.1682281494141, 2.803271791639448328600726489954691335795263582773601962969462742588266596479797e+440 
