Modelo de ising,Fecha, 05-04-2018 12:43:21 
 ,Tiempo de ejecución, 87.72 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  10, 1, 0, 1000000, 10000, 40 
 
T,M,E,CV 
0.1, 9.999999999999999999996020987261694856244582764377267030062330257961273392440583e-01,-1.974999999999999999999005246815423708406647121408967480585098290469613563362836, 4.973765922880767149223571628686626196348879126042880045958578094288732553945398e-19 
0.2, 9.999999999713491588324205245154643487480449229110716496696869634152179293013999e-01,-1.97499999992837289717760937641448592158329350656177868783547979713050451338901, 8.953387840474388455822016582133551683687830650525250815175868396512073353126954e-09 
0.3, 9.999998808050080988475314667005446909062135570539981500076037730874215513364473e-01,-1.974999702014191449885108423729258850958609615109928718703693794390510158660188, 1.655467234850416227141886014253621350219706335142382763138287883849445009569627e-05 
0.4, 9.999923119693944626200876855950366712829792384577335930197725981487333850938796e-01,-1.974980786873480083882022836514703106550194995986093259505112021931987664576896, 6.001885413835185672879265097524669870407443183895803891727276774289009345242878e-04 
0.5, 9.999063485419128428978689431363475867690167423252513943323575347343821140383065e-01,-1.974766898382663007306827706810879314983530159580477121179251400223285935801065, 4.64115748638094502116594689805836014679704517164892476187579783349699696530775e-03 
0.6, 9.995043566986915384045928328606591337965424342844399305589919256961605648395918e-01,-1.9737891119354829927351240575207715452407458120967139254770329569031979219412, 1.642732365911895565797711861914870213369468847628703551579823512707435531614236e-02 
0.7, 9.983717165057579474334682192577106872294182903064792388545173368643488089351038e-01,-1.971218340455808123505280400849637271920672199715743569144772524124409058203279, 3.580298997018957307687077492797920177923656624436565140093841765146192592463976e-02 
0.8, 9.960313861528905743500115994371994878883504445650141826996608128218095841858835e-01,-1.966631099374181975171496856672591667872313952301230666030803040198375994591857, 5.505856722783851079042904834821331798769579524149578754897075475307630844196719e-02 
0.9, 9.920743342332575452872413703362495861645746458102865872033912289742591350626999e-01,-1.960506874812901894502339579302938858125165389204796618276982128769841030266103, 6.562805614269186230862852250012773477097426893372046740523480292363148362629063e-02 
1.0, 9.862241271357998805642040926329682078636680697632698009754020923686156663939406e-01,-1.953822942423300358947758734602266983351200381791447055452485023118411897752356, 6.693951323645032913009956520154442039075437005551995183154046386101656330272247e-02 
1.1, 9.783116530886643820310956672815113324925164918413195269899169044329709427626818e-01,-1.947201848305103816536796282174998512996056405797360853189924001182167204052687, 6.580785760299583607706661895399353394158874702311680292719605044504813936054639e-02 
1.2, 9.681474980985816608405721209244970792251600649870509548222131610373455392380776e-01,-1.940453497816538992790422165114246219398405480547944722331532748221070953623644, 7.086210197237443788865977640837297921199131541575203363708005260832577508281387e-02 
1.3, 9.552901461041800570307865070317481512766711379803563749818178725477520075754457e-01,-1.932576759340989607953336233327674161946785895189814341261723529067468736877272, 8.940493714613392470881838417324530253400285948404168656851083709880756226069924e-02 
