Densidad de estados ,Tiempo de ejecución, 402.38 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  16, 1, 0, 1000000, 10000, 112 
  E_i, E_f, S, DOS 
  -2.0, -1.9821428571428572, 0.6931471805599453, 2.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.9821428571428572, -1.9642857142857142, 6.239274499895883, 5.124865699999999999999999999999999999999999999999999999999999999999999999999988e+02 
-1.9642857142857142, -1.9464285714285714, 6.84259176063807, 9.369142499999999999999999999999999999999999999999999999999999999999999999999972e+02 
-1.9464285714285714, -1.9285714285714286, 11.064042566302133, 6.383408449000000000000000000000000000000000000000000000000000000000000000000007e+04 
-1.9285714285714286, -1.9107142857142858, 12.41406392860682, 2.462404874400000000000000000000000000000000000000000000000000000000000000000002e+05 
-1.9107142857142858, -1.8928571428571428, 15.679765222552133, 6.451125841130000000000000000000000000000000000000000000000000000000000000000023e+06 
-1.8928571428571428, -1.875, 17.416306970599006, 3.662739334971999999999999999999999999999999999999999999999999999999999999999974e+07 
-1.875, -1.8571428571428572, 22.087754724505256, 3.913722188601380000000000000000000000000000000000000000000000000000000000000018e+09 
-1.8571428571428572, -1.8392857142857142, 24.34582662391932, 3.743330390687502999999999999999999999999999999999999999999999999999999999999987e+10 
-1.8392857142857142, -1.8214285714285714, 26.328477380755256, 2.71839425299646529999999999999999999999999999999999999999999999999999999999999e+11 
-1.8214285714285714, -1.8035714285714286, 28.543855188372444, 2.491373269848118150000000000000000000000000000000000000000000000000000000000001e+12 
-1.8035714285714286, -1.7857142857142858, 30.49292135048182, 1.749473947923441239000000000000000000000000000000000000000000000000000000000006e+13 
-1.7857142857142858, -1.7678571428571428, 32.570512292864635, 1.396991493236319212700000000000000000000000000000000000000000000000000000000003e+14 
-1.7678571428571428, -1.75, 34.54106282997401, 1.002289050949278341500000000000000000000000000000000000000000000000000000000001e+15 
-1.75, -1.7321428571428572, 38.5419630985287, 5.477241567439291327122999999999999999999999999999999999999999999999999999999987e+16 
-1.7321428571428572, -1.7142857142857142, 40.417069910052135, 3.571991663458612769749000000000000000000000000000000000000000000000000000000003e+17 
-1.7142857142857142, -1.6964285714285714, 42.257890222552135, 2.250963954428452772026959999999999999999999999999999999999999999999999999999992e+18 
-1.6964285714285714, -1.6785714285714286, 44.20951986122401, 1.584712644958906285644419999999999999999999999999999999999999999999999999999994e+19 
-1.6785714285714286, -1.6607142857142858, 46.08293294716151, 1.031723894610061185845791099999999999999999999999999999999999999999999999999995e+20 
