Modelo de ising,Fecha, 14-04-2018 17:05:56 
 ,Tiempo de ejecución, 435.19 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  16, 1, 0, 5804585, 0, 112 
 
T,M,E,CV 
0.1, 9.999999999999999999765221190151397893768639680905618705088518283994931114649921e-01,-1.99107142857142860309556554703907733996433059886685880427021978897622634227847, -4.495025049195240501043362680406291953698358683588860211031551489532366034678258e-13 
0.2, 9.999999998016693137685313892262819209430767621337295571779288420325953777653267e-01,-1.991071428118101334624149537343462440864155682754290719900516270747006616451483, 5.180871701748346504117946259580688546232006653779139761683746557961012142524547e-08 
0.3, 9.999995960699911947668464370282908635193528081718447391561631880513792476297602e-01,-1.991070505362105227098357207446862033166713103516375846631269163914105713032927, 4.689079535435313307972074673129623979784413189387968721616310975622245218034884e-05 
0.4, 9.999817602201311457802227056970031580977604576276539398213312778345380759000614e-01,-1.991029858077398108522747618273229283440668427188869883316495727070477495320207, 1.185018172561693879038451266963647579442428439564171267041762809324641525140457e-03 
0.5, 9.998197121810880869407983017062422594583222796175144918316971768108823239169623e-01,-1.990670750485172473032869537985473796488008679200869050267160478846425108799843, 7.165674210664562891283889676397396980074434844168145223159020633432669597676156e-03 
0.6, 9.991568996953958067529850182634360975435478260595198706142313914703589832549515e-01,-1.9893667004733460351872964312937768059736548505196094567640437549077580792349, 1.963020520738099327656625032720429324677493055285941195748853150726968508971789e-02 
0.7, 9.974054397141048765860363811376117323230622281968215506055909400590947167872378e-01,-1.986790937651010743565108339226894354367648242805205221653160057480674431499648, 3.068139038923391695163204064138845148142071590609062678151486786987841121910868e-02 
0.8, 9.938775460211863397590087386409303389605670720616930686620502032506614096789725e-01,-1.983560634155120164562472636897280553395519533762900639686177939446024050123713, 3.233688685986567109707376203707206729525571053552116583376222958931351116100688e-02 
0.9, 9.880090968861789014068261713169450425229379930937214261549037228536629033673227e-01,-1.980527859513022170048325591018656900576522615466849285234800106971788866653873, 2.793705151195688324218547883800839897841091587126671001441270577730348734601024e-02 
1.0, 9.794495685655601051373360367455424633165795097898636736575655304650848090239054e-01,-1.977949069083144322438152386087726750826665843907422297020561319428728968713114, 2.411666524655945545821825696532988338127351528271487907523977879246117025377107e-02 
1.1, 9.679244524067102483735078740411328430288060352960715185776890197676422658599799e-01,-1.975570313649973411779883930940824140575395931146135779898949400412645348443732, 2.42722078137473967113685518644227251914800975661224380279513325920967979743208e-02 
1.2, 9.530310236189042660987100916672081168589371497304603051797148942667579760736235e-01,-1.972898302886858324709198442714775954569086320164531342558834361521024241427879, 3.040705843426234775319004650218425845962238973238967838524687164777851941750661e-02 
1.3, 9.34101032370483358038250967186270098169415639746159854451922970792950531397339e-01,-1.969137379199407284366365567895899978341149516589224808337240367413619851318097, 4.734885004667932732864965791761312628706715653315295153713998843331191032244377e-02 
1.4, 9.101793672036142621100075843754727480208174701673345613413781137919140505603058e-01,-1.962673987649176581097280598251013251633320806160193749603972861269577075051335, 8.716307852665453514554456764837038238091285997935518307236615991748123167530828e-02 
1.5, 8.801196428774077384533920142543549579419614894309602921738257641491784268753961e-01,-1.950403032901105193142379331843162006244167634657148385800553507073301919350931, 1.652070706744158399187473546616697455423768731531745887369341310914044251488516e-01 
1.6, 8.429930022730373393694026100633311145492095763439604787282854402352258993654308e-01,-1.928637796547599854972530175199651345041661959436048141598150552546431342803159, 2.712768825344319205244209069033101282490896429256940806908130823699096876578313e-01 
1.7, 7.994301627920366575898336810035423215899089630673901927546364288697526346971503e-01,-1.896765675376199722076930920806452631466667776411477200529457138089105258339037, 3.609291794029938305438087690569274438901104737933353534857311239314247112168733e-01 
1.8, 7.531858215738762715614949428315097535085439909920370928969908313957189042479354e-01,-1.856915290551953246452655029812111158191962679100855019491683645285557135531538, 4.391237012225961776909433282145599767216099488858721036327453030980518066067092e-01 
1.9, 7.10113728845014815002076767529857506168730671312920145556191838227660451772491e-01,-1.807268449587599994690595964840146838865363357279834431588242246951663912736885, 5.656598023542717444664865558913896997470462213163889978404270605753188844661322e-01 
2.0, 6.742850825038207420028378195684814052650321973710356034791227486688771140375695e-01,-1.741272690871286180983640024102042801855637038254617832188380723364874897936039, 7.665575201757638394121813205917916151056143808973708451084206238235882143723873e-01 
2.1, 6.44630702131412189302706709190713585824472677827580595309086145484109138303762e-01,-1.651514763675492487416822866700463838583996656243866883942603580234284732571288, 1.041266419038750800365671256567829108007697196449311509045648356365599021482704 
2.2, 6.160529982493357150318468984449931523698670552869864464240255452009078005632597e-01,-1.530934066444268794301523876812488846676879584547562894855957787641408481670812, 1.37067161684670538597316054119668343232997271260562161444343151956918624257451 
2.3, 5.857553173822657264680177297719469765338468608522941210740525746474846148842455e-01,-1.383234329973011723655700994605992126764515187370784262112229031213199086000754, 1.519285984223778105577368909354987602673529181427282861316171126469810902225691 
2.4, 5.583874474613823658732158953631787887269407217710547015884972006637572561023889e-01,-1.241136562355086111829891436555095356115905126528381490261115904198768575625654, 1.276052640123756156470067641628961638998401902283206069535440719400150211275489 
2.5, 5.374442470163676532624313896249645765253292854751399522601566689352081127711193e-01,-1.129831189023399520965754570738382768522497004737836944385068356165874256754436, 9.663767059425011194198710361850028657653697986542717626817150294148723586622937e-01 
2.6, 5.209959163746746978010064050884089970579352626610158533298746899614096020907453e-01,-1.043775719911728035015060483419828865577886874219267007092775151725540253371253, 7.716554690477277126571267054563911991873977707355867644264985137605183674428056e-01 
2.7, 5.070484977458032378654966294628346604120327529498608661059808532189126585410451e-01,-9.733032284237021405416566920652523178725921151491581917060926610145805388480861e-01, 6.441798065309702446411165756548673492829678371862430924191156992363056166791726e-01 
2.8, 4.949124788689825024581111613454721371282407332548658474835038259404352639442382e-01,-9.140825639224624026742373264311089837490216275761968231376459607808044027369058e-01, 5.436223100102919856112288205670025101864693267912533841060009417451782188670836e-01 
