Densidad de estados ,Tiempo de ejecución, 97.31 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  6, 1, 0, 12711, 0, 18, 1 
  E_i, E_f, S, DOS 
  -2.0, -1.7638888888888888, 280.5, 6.600885110686174205674617384805304040436312867045706490050781423892254164542517e+121 
-1.7638888888888888, -1.5277777777777777, 286.75, 3.419343141497746605908588159743165160227894196447858215385407457784744039308863e+124 
-1.5277777777777777, -1.2916666666666667, 292.75, 1.379461478112094587507588359372916439293185891808286433344549632922608857112409e+127 
-1.2916666666666667, -1.0555555555555556, 297.75, 2.047302358269257868138133613861487632487005227923371290682383575101726703499039e+129 
-1.0555555555555556, -0.8194444444444444, 310.5, 7.054019095091108649426755286534087512530736267785938012377352751467834274290045e+134 
-0.8194444444444444, -0.5833333333333334, 317.75, 9.932798487126289585824890036564606400303737883534177358807899224224681279510786e+137 
-0.5833333333333334, -0.3472222222222222, 323.0, 1.892856343043182383234520340542838739065113566072346117747540166778431942025511e+140 
-0.3472222222222222, -0.1111111111111111, 324.5, 8.483193584336709168780769944155785107000555286518640848963928455053439684252542e+140 
-0.1111111111111111, 0.125, 331.75, 1.194522601436348923367876228490478353520167250025980333052920806695819007245409e+144 
0.125, 0.3611111111111111, 332.5, 2.528804367084966032656344725293613718632127835987573900000150452115883828539829e+144 
0.3611111111111111, 0.5972222222222222, 330.25, 2.665340193594115504750364011735246656259822996232372413838101807855004478675789e+143 
0.5972222222222222, 0.8333333333333334, 327.0, 1.033464546086604114115365543361185367836857468627620564522433066490915189192081e+142 
0.8333333333333334, 1.0694444444444444, 215.5, 3.894581980772836809904514780205346353615151287022397642537294739739388683317047e+93 
1.0694444444444444, 1.3055555555555556, 197.25, 4.619410481320526271183284241480954537332320596337003654210736903206734273075947e+85 
1.3055555555555556, 1.5416666666666667, 131.0, 7.808671073519151171721496316178984426568515633748997407857092499999999999999988e+56 
1.5416666666666667, 1.7777777777777777, 118.10733032226562, 1.964996726800184814697931211881377013298332249080675177679999999999999999999993e+51 
1.7777777777777777, 2.013888888888889, 114.47711181640625, 5.209283173806917704544171702321646422055134378203336129999999999999999999999989e+49 
2.013888888888889, 2.25, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
