Modelo de ising,Fecha, 19-03-2018 14:00:06 
 ,Tiempo de ejecución, 40.29 
 Parámetros 
 n, J, B, pasos, frecuencia 
  6, 1, 0, 1000000, 10000 
 
T,M,E,CV 
0.1, 9.72222222222222222222222222222222222222222222222222222222221988723651931030557e-01,-1.799999999999999921050807137766646014319525824652777777777776937182924729487855, 9.221265726308853729549610485539666741299146191346328518686329213977325746597275e-13 
0.2, 9.722222222222222222222222222178822502705775670307595791365357016863670899432568e-01,-1.79999999999999992105080713775102211529360506750538003449115357134589101227879, 2.305316431577269678423895936003506780406146290124646141696912661652225524252113e-13 
0.3, 9.722222222222222221072601751550150898467839007828553009236971508621217795433756e-01,-1.799999999999999920636943768324700378610671583328435857833122291846322633429288, 1.025247262092091096619102990322265129055043174807876027933045085224075021694839e-13 
0.4, 9.722222222222035115982306991192623011410042447658618700643695791921253535192244e-01,-1.799999999999932562804437654602637647406498801393155684007712731673968062803424, 6.119875084042200081326197037288780546509305915273403548053852069672403484931755e-12 
0.5, 9.722222221971606368308525641404516697582622882930814523849422343726999493169758e-01,-1.799999999909778213641876377575935748683848966234330304819583155386583162891754, 5.196807231009581172838338001848416226160446487605505614121595413400559869178072e-09 
0.6, 9.722222191769785746752368497536047535605124904579335583207392219835042181539255e-01,-1.799999989037122789881660878767499302163585852193109855642536706844157585559575, 4.385151025795091175380910141606562798887360773165583817632302219607850642055933e-07 
0.7, 9.722221283296031754976456799414414009481960238076056521692919184958359036933549e-01,-1.799999661986571352842364942899652155639218462618377960782236895732820578323332, 9.933450094437766225146608091350997073681415673484861417757499577868545427979874e-06 
0.8, 9.722209936925888339277841062512951138727543405072304514798177718906873443710228e-01,-1.79999557729331972319126593071739164785322038654278743423701783928826164998937, 9.951014213118622134535893410826287094539656990810251912153776873923328218518533e-05 
0.9, 9.722131449897068780011714771366351338306054964960826517062451912212446875243598e-01,-1.799967321962944681856905146211373486246656368948113238161223496401683636298169, 5.809101775112134238567905352010158650024486214785249185928496090449485739123911e-04 
1.0, 9.721772723972876658349039897830133721900904457477847262331211447317387181981851e-01,-1.799838180630235517263696869595099234232026109030197899391530934246038517909529, 2.329549442510649659515013358169888312341102384262769422275837769925098970054805e-03 
1.1, 9.720559070025942076026958501943921638683752921893957204078154863054831125703782e-01,-1.799401265209338916614899341986720867231478103646492450075106539639244920549568, 7.118093971727842673429061480651135055844643719227488196475072475877849373095526e-03 
1.2, 9.717281115546136937090542744873835443310370678101879639517441466642297218804514e-01,-1.7982212015965973258498834114417926453893761247194936866266469909232242120655, 1.773357990805648767848255741536429911527014365796352468700529772758323490543883e-02 
1.3, 9.709842696070744990522531793531675535485677562578909645073302371188119405175767e-01,-1.795543370584993963928616096346025172228866712599409180188429883832378370926402, 3.768351937863744961259263919525785574759801324392681904633748929641043668403191e-02 
1.4, 9.695160852344948980401570329938094575373014521669085296810190982371294993304216e-01,-1.790257906833099880910142973465115998318062913560697408714724550698143220100287, 7.038619744890236906972403142558192840051188682274021497395928934231703979463379e-02 
1.5, 9.669360365781591762819327275941408278686260917199582548422827182552635358120363e-01,-1.780969731513291208025527733842216318665659912433575144846085514513539707272088, 1.178854999372797660907088863358443483115412478981632955959972817335891728431511e-01 
1.6, 9.628356096754004491700792290840156068968330033257770387203183961658839535814632e-01,-1.76620819304851743600579245847550941316064937474208487735296860100180932081616, 1.794386841322101187113337400792476986003940140705720710858874243677932441780013e-01 
