Modelo de ising,Fecha, 19-03-2018 13:53:38 
 ,Tiempo de ejecución, 41.71 
 Parámetros 
 n, J, B, pasos, frecuencia 
  6, 1, 0, 1000000, 10000 
 
T,M,E,CV 
0.1, 0.0,-1.799999999999999921050807137766646014319525824652777777777777060225619506724319, 9.22126572630885372954961048553966674129914618957451371389412672591151245731002e-13 
0.2, 0.0,-1.799999999999999921050807137753309075096065686112755131203121851165142093173199, 2.305316431577261445368607077792203005558292408267770695793343270325913932429481e-13 
0.3, 0.0,-1.79999999999999992069752332583812068497372966413465930763156387809423166439006, 1.025150334800069624291291094534237522077874083947380627886402034021939011325964e-13 
0.4, 0.0,-1.799999999999942422417685004441927944667950956107536838741776617124917101343621, 5.232509891780947950875275248889899124863211713241222076529436435033988723901133e-12 
0.5, 0.0,-1.799999999922984482945791747135034754655960073334076003430605209422131330682831, 4.436126119370114599633406505056240059800181593613967183777886345234974538924836e-09 
0.6, 0.0,-1.799999990641822019227231948305463394123991477888121094555064165123529660849915, 3.743271361336581467320728824759522140223871204809143975443576944544842566726727e-07 
0.7, 0.0,-1.799999711463501518185241380260497471981449999290832344010928180133758621773835, 8.479436092844257708519127752844997056344035256499959917032090335626516151433063e-06 
0.8, 0.0,-1.799996224664121622362488754632815026800640298338422409284227889000367511637683, 8.494454882705737617798047472914334396680673114396313987024818441275967962770026e-05 
0.9, 0.0,-1.799972104898160277181597671836721641236310081063364189552618260346632110367484, 4.95890989997446421192746700858462564772153470216093425856831456289453945305986e-04 
1.0, 0.0,-1.799861858804072109295204266344544538624003387485840820468908070524048752292002, 1.988797639449200332022629962096863142350237275946341502883841377959384885364924e-03 
1.1, 0.0,-1.799488792411221041428045148170087414220701984563970201904039240105639284893423, 6.078865881570761992774326081999143087621114783785940232126452582281831034325901e-03 
1.2, 0.0,-1.798480576350355866612770918817871551773206507530806379961277986477272196074089, 1.515772229990382394295890931324818315024861009120278553428350812964319589501900e-02 
1.3, 0.0,-1.796189441900429710472412529084240286473956631148799799989633392100306445303792, 3.227369488520149581611015823062595833512049031097400577207341981912540163881127e-02 
1.4, 0.0,-1.791653895343617197152808174860549099837874452737326937293788700368170256384628, 6.051779603652952882446138220724996855577265140826867934870688821018009860015508e-02 
1.5, 0.0,-1.783640419574467474965875901482668250301804950118139517936941001842546232910093, 1.020575259933321593944397475469127436611331803602525827409856307279663753312541e-01 
1.6, 0.0,-1.770790577261197299238232731442062914434363157311890768303080052713105104747161, 1.570584436162257695459939629847370313660542495509783600580384458926995859947103e-01 
1.7, 0.0,-1.751860443993738168798920816356151362366200891537315109754357476407810803091523, 2.230279516007344039536108734234192269284837366382646779668004062972119009311281e-01 
1.8, 0.0,-1.725975923315412011770286603090268965954467516247096286184588731337141117682958, 2.952508239342813037006605144283846494016259034560998207403762024490121327291224e-01 
1.9, 0.0,-1.692777183070094887072994223022987266591825439130322233342436733410185885672699, 3.685287414607704666905887234274768539549359766018838973733603726736278400646546e-01 
2.0, 0.0,-1.652354419352749731160297923173183714052110776550438601463706321444097637096859, 4.393819525788316049802081984143718286639385673612520280612816518276233595335668e-01 
2.1, 0.0,-1.605006907749976647854925768287604658397988851106905300332765666795120571292532, 5.071146304689443724389802813692458845277293131941643405786048597432483127770536e-01 
2.2, 0.0,-1.551001837833919940382120676826529032164783681354882143905408757654449360057267, 5.727011758833009972361467411177165839976319041451235413520133006430979409828889e-01 
2.3, 0.0,-1.490536050409684338461387369465599685458425245857184323439532825370045913502122, 6.360833605016943985967244885600155021340161205331022295717014721140243784555875e-01 
2.4, 0.0,-1.423969459803909722859506509527968078418521544902709315818988775690226359196874, 6.938071286863522354653593869407656014509224241124529119425092677142507116525357e-01 
2.5, 0.0,-1.352194743871439336638878162244691653234844873375476561270446429351898827279064, 7.38888715003995317828581751387443423158398913485043107712543144753468399531935e-01 
2.6, 0.0,-1.276882409497774540466175353802904825627854156679309480979586096741401637458247, 7.633449926620710672705601416192919242483834583282505228037119516404780067366765e-01 
2.7, 0.0,-1.20039563114398464370378127087935429995771349127411702724884591362399699003338, 7.618885906347566373369707796055160796617696258295533784226094349010299255912091e-01 
2.8, 0.0,-1.125378468797447709161841273282875279913592140798468038532520173072086554243772, 7.343949568788541416516094556879097001963973548844637781922512318991641438321257e-01 
2.9, 0.0,-1.054224662089456535983740872866870430390644200992475613509340924512990603340242, 6.857556973026967359931119783773771471134965546403003373567383665314835042411119e-01 
3.0, 0.0,-9.886754789135648570023050231523600312634064856847386723276457495701323035258798e-01, 6.236740693129303033259075642442840606072303713024961043326680986592464600361203e-01 
3.1, 0.0,-9.296730218870468158388134859347086084304300969843743666174256007370973294639665e-01, 5.560392920590353463445324091963864788094099079430758922180773254271973734531211e-01 
3.2, 0.0,-8.77440125135529380009303165625811792848344136097879136492707120767427083390108e-01, 4.891526893908997429774177309375254759463935304348999328295394838738927629258398e-01 
3.3, 0.0,-8.316786420707191812878732205369782720644171135261143603950608003670981529798723e-01, 4.271134202573709828125753652648182386036932589922194001705075802413568762981224e-01 
3.4, 0.0,-7.917842955985510022633575121396698467406904002420579788224133939217608634198545e-01, 3.720199780523636757743289558202369681732113250669905249598848140604792420711814e-01 
3.5, 0.0,-7.570207825978575329063977721265476679167717545624268148162547003711096744468351e-01, 3.245130694584234382659756225956476490937146257798420756698610653709861865411375e-01 
3.6, 0.0,-7.266368926597722682982686500021433166975921771206862862221360691443845950228032e-01, 2.843349925864057033625825277403934724758392005376436391965999502951298834373455e-01 
3.7, 0.0,-6.999333527369721410780773949209792270687725966690594160253484522672115977332889e-01, 2.507644553618513571980086131000231564279265423777148528492030099985841157424939e-01 
3.8, 0.0,-6.762936755461660801040053341919272286404412012694876529383836533895522438630936e-01, 2.229036977832850522941070001045863366386510952438556139278310256585063966891172e-01 
3.9, 0.0,-6.55192625763375859970652778437808676162551770663798525886386070750067915306066e-01, 1.998452428781884747162490173620927055726278734470398176243867860123587459628704e-01 
4.0, 0.0,-6.361924369138955256069507786632168033839627152733734376401985220781327138519097e-01, 1.807562142016073876723008538354746902065468931637312205697789374185283483707218e-01 
4.1, 0.0,-6.189333413221522600205121841548189534561362634276321790809012196705488484371058e-01, 1.64912306588674364427455784336335609789390127484990985099029562339076137400718e-01 
4.2, 0.0,-6.031222460689641383717451155798750482260212956868535656019508434598713533196546e-01, 1.517038694511055521341468098881450643169139990843800961337042589112939900228162e-01 
4.3, 0.0,-5.885215797691601247981006222038840050518541995574108510385519360800456153010829e-01, 1.406281841550959483063720463359729828158547519737099643417613210108190068695064e-01 
4.4, 0.0,-5.749392442094585395695400013223531169866786750060204782055556360958808528139872e-01, 1.312760738093440770392160147560746014500006874042680576199143418788592000198454e-01 
4.5, 0.0,-5.622199956439866769990057904041224408282620195974115378280257555954667939981077e-01, 1.233172022936316455411259687230694518540429482784399901508682517535353692940637e-01 
4.6, 0.0,-5.50238267016267063751927628451130068525600336430695517309701722876453152143901e-01, 1.164861832033657032149222681926873483086478646414338739205131873484407597791716e-01 
4.7, 0.0,-5.388922989098993264245056802807940768858970965612884229443603502451581019570499e-01, 1.105703746178030214586844039288377965446638784650398527289613074999856872082003e-01 
4.8, 0.0,-5.280993956739258577789390683665466650125817541495767605779466623256011821172274e-01, 1.053995848507118288147221917050977750390691952621691886045212916428711276729396e-01 
4.9, 0.0,-5.177921183376104958033248442857170028075196930303812422284430932931595726121631e-01, 1.008376016191417905094620984810122416599106945986078866090059879571157765179653e-01 
5.0, 0.0,-5.079152422293068798936176299688341241634096585106532507638145078080457862428288e-01, 9.677532780542381278479718649092800116934461722594467873068928339858483664242187e-02 
