Densidad de estados ,Tiempo de ejecución, 94.7 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  10, 1, 0, 3158544, 0, 40, 0 
  E_i, E_f, S, DOS 
  -2.0, -1.9, 0.6931471805599453, 2.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.9, -1.8, 4.70318746376307, 1.102981800000000000000000000000000000000000000000000000000000000000000000000005e+02 
-1.8, -1.7, 10.154801843645883, 2.571428218999999999999999999999999999999999999999999999999999999999999999999995e+04 
-1.7, -1.6, 13.890901086809945, 1.078305177940000000000000000000000000000000000000000000000000000000000000000003e+06 
-1.6, -1.5, 19.42317342567713, 2.725066091887499999999999999999999999999999999999999999999999999999999999999993e+08 
-1.5, -1.4, 22.856736658099006, 8.444124053121340000000000000000000000000000000000000000000000000000000000000005e+09 
-1.4, -1.3, 27.92797994423182, 1.345759891089370580000000000000000000000000000000000000000000000000000000000007e+12 
-1.3, -1.2, 31.235810754778694, 3.677394723370541810999999999999999999999999999999999999999999999999999999999999e+13 
-1.2, -1.1, 36.1473097782162, 4.995479399172840573660000000000000000000000000000000000000000000000000000000012e+15 
-1.1, -1.0, 39.30847310829432, 1.178834840554934418358999999999999999999999999999999999999999999999999999999999e+17 
-1.0, -0.9, 43.86576986122401, 1.123729533927082377049035000000000000000000000000000000000000000000000000000007e+19 
-0.9, -0.8, 46.65680074501307, 1.831433301455998251438978399999999999999999999999999999999999999999999999999996e+20 
-0.8, -0.7, 50.69403219032557, 1.037859214930238791586261822000000000000000000000000000000000000000000000000000e+22 
-0.7, -0.6, 53.1213088016537, 1.175685830430344505457781857299999999999999999999999999999999999999999999999999e+23 
-0.6, -0.5, 56.43158101845057, 3.220506954962813284114844126189999999999999999999999999999999999999999999999985e+24 
-0.5, -0.4, 58.188676355364635, 1.866470157033238005250281677048999999999999999999999999999999999999999999999992e+25 
-0.4, -0.3, 60.62846517372401, 2.140956637205932841849824054561300000000000000000000000000000000000000000000011e+26 
-0.3, -0.2, 61.66911458778651, 6.06116587348806328164678047764409999999999999999999999999999999999999999999998e+26 
-0.2, -0.1, 63.128373620989635, 2.607980351626288811506939727453069999999999999999999999999999999999999999999992e+27 
-0.1, 0.0, 63.310380456927135, 3.128591633954479250067428597618049999999999999999999999999999999999999999999997e+27 
0.0, 0.1, 63.749894617083385, 4.855427280652724244774563727293499999999999999999999999999999999999999999999987e+27 
0.1, 0.2, 62.947282312395885, 2.175992324310527867598444478510710000000000000000000000000000000000000000000006e+27 
0.2, 0.3, 62.46960592079432, 1.349600212839315332774110921656260000000000000000000000000000000000000000000005e+27 
0.3, 0.4, 60.63635396766932, 2.157912997642366522060819190166600000000000000000000000000000000000000000000002e+26 
0.4, 0.5, 59.29582357216151, 5.647405563014172862189102082016000000000000000000000000000000000000000000000009e+25 
0.5, 0.6, 56.416520593645885, 3.172368157390739196760306557929999999999999999999999999999999999999999999999993e+24 
0.6, 0.7, 54.377702234270885, 4.12986655539201992557053555819999999999999999999999999999999999999999999999999e+23 
0.7, 0.8, 50.776444910052135, 1.127015360129099979790014317999999999999999999999999999999999999999999999999996e+22 
0.8, 0.9, 48.22339010048182, 8.773082619718779989629063000000000000000000000000000000000000000000000000000004e+20 
0.9, 1.0, 43.94023275184901, 1.210599855317197820493277999999999999999999999999999999999999999999999999999998e+19 
1.0, 1.1, 40.93121480751307, 5.973112967605695393010499999999999999999999999999999999999999999999999999999955e+17 
1.1, 1.2, 36.3565382938412, 6.158060653077574390629999999999999999999999999999999999999999999999999999999996e+15 
1.2, 1.3, 33.1264357547787, 2.435724998466809625399999999999999999999999999999999999999999999999999999999988e+14 
1.3, 1.4, 27.988145349505256, 1.429213415119546169999999999999999999999999999999999999999999999999999999999992e+12 
1.4, 1.5, 24.644746301653694, 5.047511611829411000000000000000000000000000000000000000000000000000000000000011e+10 
1.5, 1.6, 19.547761438372444, 3.086632511129899999999999999999999999999999999999999999999999999999999999999985e+08 
1.6, 1.7, 15.995194910052133, 8.84351438127000000000000000000000000000000000000000000000000000000000000000006e+06 
1.7, 1.8, 10.567048547747445, 3.883388804999999999999999999999999999999999999999999999999999999999999999999996e+04 
1.8, 1.9, 6.53558492470057, 6.89236820000000000000000000000000000000000000000000000000000000000000000000004e+02 
1.9, 2.0, 0.7606673221615078, 2.139700000000000000000000000000000000000000000000000000000000000000000000000008 
