Modelo de ising,Fecha, 06-04-2018 00:10:46 
 ,Tiempo de ejecución, 14915.47 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
 
T,M,E,CV 
0.1, 9.999999999999999995308548259788179090212873562756293627865464161519412845344834e-01,-1.997619047619047654133367554594634687254274701197712826407997128445983725874799, 1.447707043739352325233518541229035315616123896028922359576044820101609114909495e-11 
0.2, 9.999999990502319150924300271957821477781799211105455009260588579072512295497993e-01,-1.997619045583831159798604468737487328266609238260465393997284754792490485434377, 2.180624365704795139393756998515656579407357184387906130550184910138826321178118e-07 
0.3, 9.999987985349941400259658546411832293006534546030578266313433311488119612376582e-01,-1.997616474377865199184164138168492628757015446894449502920316936260857682772392, 1.224693624941442556786776833017946397123913037478654379322334298218018100699269e-04 
0.4, 9.99957300087315187368513726925766767426895079534838245941790181668068387780927e-01,-1.997529195317056794727937753000144482695026938055242643698727636223248247454726, 2.361545822821056737584467331758156230011655950184609325609450554623939053771778e-03 
0.5, 9.996379141368388874904779734374857975301622497882881507057498384173302165716787e-01,-1.996947956608393819567411465520161748579294315742430291589388831386020766625002, 9.892452626012080975029140343539736297022940707903006540372949960311145109158404e-03 
0.6, 9.985061307063882075512984557379362475749200694131335261348411411703790459809453e-01,-1.995678765905355685740274658131152291230215502171872353593489515044061092202182, 1.380015075533769288164818188778308566394469672172581636815492318324689864389499e-02 
0.7, 9.958944037222147789738959447649953040351627428422731358163951009247126869551513e-01,-1.994464736757552310507262262197157633515062820827352457672083998459419814615784, 9.960576674986537419978493966328666893414178865555039546576272448651206502665067e-03 
0.8, 9.911561897670900396352139947801725314169856062215073954392592155018120520092928e-01,-1.993653589097376120036038276720381968373069412823694073173369509910613944167182, 6.782491902804289199890634928446883719638458352899735895010800014931296956995354e-03 
0.9, 9.835586397244356296252325090939892507839668634461663005269590590117002983985475e-01,-1.992990991143971937426960746331205727246062453065787124298903969931939995856033, 7.061852881764329598457075282383634259652599386398625385945614519938328811228089e-03 
1.0, 9.718125831511457376643209950902512059255473623154803868434528925872107555544343e-01,-1.992122183578341363404719367259009674845950424868487666152856680207775116653718, 1.093223995659761323991360765192950556264723625235481147210832201376069513751074e-02 
1.1, 9.533958341703556139647710670417334847441318310563146058008424514761274138556858e-01,-1.990668828224287317225683780306257341795771768722221886345858122549228274094501, 1.890532050668846835913133873302955834011618001644497383656827956150413233773901e-02 
1.2, 9.240553307101384507491165598059981515466774806284367710617590751133107252737116e-01,-1.988149874173272836944875898065090086537059434626302371515111497090892521424944, 3.27824699683658383085228208401759796957506802110877493029270256614198422052687e-02 
1.3, 8.77475936900234995279512472321524285308690426086121705388058105673622776460302e-01,-1.983594984257851964417550674997632261892259799469401250278003587281088525948976, 6.384085465504289762222772194652150815010653739363600571648962021294846537084898e-02 
1.4, 8.013878242345733846812636703825570434584539191972228575436545518322044763142773e-01,-1.972800349389626967724172172453127229835110674921279995213175279791428409592675, 1.728352869072698007103253879519530418515063425192355192885282708026586449793743e-01 
1.5, 6.889287014917478089117796191853693746601882840779660536020703391482711291617794e-01,-1.948279439197350200093706863519322932278590741826797626357606639699583848867544, 2.80403690303469913777161362314805461270858683791698911806666880611308285094781e-01 
1.6, 6.033176160598000613495177386148102943767322502996880054256901188344021874137957e-01,-1.923860218201750085319092698431903692052287384087687130893048466984753738238644, 2.164311741990615220897919748759487195132875747534766836290028095823780152465932e-01 
1.7, 5.789676220879255664830151629343837657628153207760166374555308720069251646139447e-01,-1.898115480977574023003328464427615365666150708670810266478599459805496033096873, 3.267545839480767297571784313554782518073259192016265441575818427852519060297435e-01 
1.8, 5.822336179296030976408665704721707294296361703736394083997412986834083838806459e-01,-1.859018941759095398024256424421305333353894362414300459719693730861399711379369, 4.390901013618742635987755437180962525821579447395029300786776461516735474804828e-01 
1.9, 5.590511546600358005860448155799898098791892570779330516481414972415877017266691e-01,-1.809910709623565055712807525469694187824772323557220926116633356869487285484605, 5.53813747172719290004385004661757445349515200273565591415160614381586753415511e-01 
2.0, 5.481173896254365111390534263084044550122957372491414480681026698278757117073866e-01,-1.746594037754128178401842212295601381179068333597860153162295453008573584573085, 7.213479842538455074713406854195743470910384484234900939412204736731710878740376e-01 
2.1, 5.354076965428178896811888712759794307565326145480314555994356074989731259235876e-01,-1.663158601564906900440149699036106913924302701042166867886860877208627232785726, 9.74176022147573414001121597693823342542129330842860178349125523558328023079773e-01 
2.2, 5.172815297865651721699125688005786137182295977460045066899996647857990062038828e-01,-1.541813233410114059543652139571450164804706542912964251222745844425565010291435, 1.501586447399661564276215206426092882819680008066652775355546028737622715261682 
