Modelo de ising,Fecha, 24-03-2018 16:42:59 
 ,Tiempo de ejecución, 61.9 
 Parámetros 
 n, J, B, pasos, frecuencia 
  10, 1, 0, 1000000, 10000 
 
T,M,E,CV 
0.1, 9.999999999999999999999999999999998783250867982927553830238420950415426333979843e-01,-1.959999999999999999999999999999999513300347193171021532095368380166170533591967, 3.893597222454631071260012180463084863788633113727399035802920002242076319369167e-31 
0.2, 9.999999999999999713595180886449191703526700898216782460835710731523026028644242e-01,-1.95999999999999988543807235457967668141068035928671298433428429260921041145764, 2.291238552908404047509499453322632747307716626047376775676892178703568567313728e-14 
0.3, 9.999999999823162888244377820882157522403759016318028210036409220929021971581734e-01,-1.959999999929265155297751128352863008961503606527211284014563688371608788632568, 6.287541747966868690717145374248614548489108813559043751635029548834512600360226e-09 
0.4, 9.999999861046408040915953826775540878385428344135707876370214131796626594487924e-01,-1.959999944418563216366381530710216351354171337654283150548085652718650637795096, 2.779070677733395884274642085453564494404693836248161366783078010213019830785078e-06 
0.5, 9.999992413560874121340398494372371291424579866097731757210532088416885809570465e-01,-1.959996965424349648536159397748948516569831946439092702884212835366758232691049, 9.710420512144098537508875834392652971831858330382501005568911669378289333683686e-05 
0.6, 9.999890849953264240849924171349531914568969028892589011414326033634058731983331e-01,-1.95995633998130569633996966853981276582758761155703560456721982953489946194615, 9.69904204037626126707987200839605677479152295440388287303593427155801685180402e-04 
0.7, 9.99926812343760144077819541212424864462682911930948199450407114759150147557605e-01,-1.959707249375040576311278164849699457850731647724070729409613205560116279179136, 4.769098353115359901381573534573186222560037396808983888240946585372989296135468e-03 
0.8, 9.996967164631335203012028808447275342408605120009808075168943774762282491278768e-01,-1.958786865852534081204811523378910136963442487667030112572409428098189253396866, 1.502680507882861274987140565696281572956603030851211294942997285864266723406647e-02 
0.9, 9.990952892466220962085288909710731470871436489685214074498765562229275397562024e-01,-1.956381156986488384834115563884292588377105539503356753245674503716160619112992, 3.478936594488476310393113056510974488484675790959696958152858475060856187902145e-02 
1.0, 9.978790841995970055330332784595801184471205797925725045091856326741647657203516e-01,-1.951516336798388022132133113838320667917010572232203359576367705620095359231626, 6.375750171185541969829351704150697719510112835968296989899239339911897010505854e-02 
1.1, 9.958710457397299524634621802252357200754351335049076326182360580105144995308538e-01,-1.943484182958919809853848720901193401821879046218988124732264651400430506665567, 9.702408125958620862222073254723212395408552833491861170487866829455177644234656e-02 
1.2, 9.930472409689856528529961725728345527856151069613308009949624505487884622287052e-01,-1.932188963875942611411984690382414455787662337793144311396711893404978400903923, 1.281145838024291179703033717328747874829885949398862244173233371998297760618505e-01 
1.3, 9.895067227317005651340219321078749224560323617528649382625762458729652120432489e-01,-1.918026890926802260536087740749940277130195726389084344906908250147659554901537, 1.544636348235891490523657054338486454596458652297065910191141405016720622975083e-01 
1.4, 9.853347529135581945475903675406871904538441071416163814122699008386180917921395e-01,-1.901339011654232778190362229564319255525634530607020520388286359576736331816358, 1.796596629730229710220149411505938453714323081796803375189092741680751011246117e-01 
1.5, 9.804712259947243643954323255749464070710003119324499807729621249798739151668352e-01,-1.881884903978897457581754106794410553217220665016569650436707121583328065388557, 2.111813084098155495755630660170788339201616238640730363694515878294432050661257e-01 
1.6, 9.74652072936467869474594418595557627171147585667014303797212498601347394367371e-01,-1.858608291745871477898857439467250383241592894801453665829665420591586916080409, 2.575372889217857795858789990657025076127382907386468509384858407439912881911108e-01 
1.7, 9.673980682865290988298567455414109990516870907060844476804397052357016957769814e-01,-1.829592273146116395325384400398418332195961585494797831106029033783093433523764, 3.274920633423602750988849597576265481683482491287299405061027763080584898811581e-01 
1.8, 9.579972460252100094661881487111903898111368860856161484397134592481043023690506e-01,-1.791988984100840037915029407192782053535078234411476957277102221227556842967974, 4.311691577989693632033115736410387034506975635256074188365824838993721771157392e-01 
1.9, 9.454560881645104782382996438039010197058326812916449776270347888995393804849208e-01,-1.741824352658041913252730524787094052933871627107599010118225989779958398018071, 5.807837201489062434774333252266548859696634622648901326205656421616199239112212e-01 
2.0, 9.285100004294619428467588905797114111590346187584523955505011399261863296452901e-01,-1.674040001717847772675526223359814436700386110289861114251940642720393544688341, 7.83113433228728965855729468295712327596857380484573464253140259525494738363701e-01 
2.1, 9.060622036090552436504665683915714768681350992322304739940146161697969193142527e-01,-1.584248814436220978652341281052112056161161749396698272626462523662199261302805, 1.011692102700193471468178553289381254878734621015180070888113325629071820283022 
2.2, 8.784092020267839033627420209026565610343228539792989726819753552181910404353068e-01,-1.473636808107135622870076129589403734311571483343623200867429519414524916301896, 1.181792278418370222084592436410435497856765649487909282069805747398162781343798 
2.3, 8.482169310533974210976461066538227952860355398233928136333363553747117610969602e-01,-1.352867724213589701062853742716326281742007971906648693952912925277646930227974, 1.206518766331860493733270852410769175128005929987229789852367826898918757840238 
2.4, 8.19240691521436125312721358201134419548063100283206193938563159868697320567118e-01,-1.23696276608574452493356270156017021908754034119596731573288314144206073509612, 1.095065713916105431561972809929054202507793404008972226127331248244298012557083 
2.5, 7.939107553932877164516984761145075544890394761979192316090899264614728163763848e-01,-1.135643021573150894632652531237251157318497319936106210322377272560297982394206, 9.289420637727994127033192861895006647757999733075846501565839264874784217760497e-01 
2.6, 7.727059681158871089099882145415600371712842413839289098415383054446862858963548e-01,-1.050823872463548467516395953606611859575442501078976288083104168139713973791586, 7.71764932796576503506295455714746548392412665087679278406653928044825720932885e-01 
2.7, 7.550634970439403429578407323788419276645950120402214783691418868037058469305911e-01,-9.802539881757614051898278761565822514886663137000499177591230822595025305392032e-01, 6.449709326238151277517602363326519390984265891111022356899245074422130863735882e-01 
2.8, 7.402101902924955018310018551175170568234087641282237014797865329388728680661672e-01,-9.208407611699820411464487449054610731402140705788363434686949406934860012254382e-01, 5.477007636054682150927094648476395092252321184906680541217094079156221396658691e-01 
2.9, 7.274872505329860075137237423134351005671687680545962467691615951781845931267769e-01,-8.699490021319440636759757833499727052672777980879421246309946293284002681233257e-01, 4.73405668103086584365600336413690726522558347779451758068326077885731913907804e-01 
3.0, 7.164002408196370560363356180538038135022546859411443784956516473606381243073414e-01,-8.256009632785482570990565827686458486366405914509365666945206072611753016304838e-01, 4.159253898708612467625483139190836616978822487404184989242738945640274835882547e-01 
3.1, 7.06589814395489744898503364304887796340603647865954559850818204473005441285721e-01,-7.863592575819590115407096887814219181482500650556486820640052662503471929760808e-01, 3.706294549012117210013353932514032477995132401748299730337999182769516491435466e-01 
3.2, 6.977950419643803909177949952795629152786342380975318916417055438002897881218383e-01,-7.5118016785752159436955852990652208021074639109187859328118077934047256725109e-01, 3.342120868104460242729101154954335293567724917767533426756793004576466994576807e-01 
3.3, 6.898249868358036268236831353170344979173463109785095089083421568786428558696700e-01,-7.192999473432145365883622185735003435432309684447817353860835238735166817433944e-01, 3.043235034241045188382277230146768990210179765992512020424775213786109258617001e-01 
3.4, 6.825385808512256474082006820932707843278591187272938502624701013569041561695557e-01,-6.901543234049026174379781703866530607123960402121401886165119685211233388779945e-01, 2.792848654524877545507931189280300283805983370203959660208743146140222574933952e-01 
3.5, 6.758304446205391608357507555019193284968628642824199764248247602577380729893441e-01,-6.633217784821566696352739713972379575527412570757468469910231181670960936902815e-01, 2.57893355679394517330078077351842981275984904741420337492233497915881867370826e-01 
3.6, 6.696207609800744403099306478253397789924211553616272719148558396899401387628774e-01,-6.384830439202977860401458742060480016457985315095542961379665776327290805296394e-01, 2.392882206070813858526334134149202039099418248561353404193650325924244713897454e-01 
3.7, 6.638479797249419160657296016393682172330625800304007309919516685972091517180366e-01,-6.153919188997676876254539811766646408004396932212936543359771698845955318572099e-01, 2.228553713363863084849421671208433162498350180422640693634424925406445184633443e-01 
3.8, 6.584635685924310928853721927855799180713677094358056042204546098807225746255561e-01,-5.938542743697243935423423185765858132449173781778022984110722974983380601709527e-01, 2.081574961647484928761763033831049724767331301483898594506754977385209893750723e-01 
3.9, 6.534282725851214570251779179978876291180325668964287449798207845776506937067108e-01,-5.737130903404858488298154997076288486227577394398821135663100382844709536250974e-01, 1.948823623677109685531450542946351238316309525430221802072443374964120952467004e-01 
4.0, 6.487094867629161434975985991973355925387353856826227800393218096548304427062993e-01,-5.548379470516645935448609227741270894120734637247827693599276457832376861242067e-01, 1.828048311235175703323870258566611009807167645703490890314256627640926165186572e-01 
4.1, 6.442794409078341485715534280112385982514103208977851020474084987294027609097203e-01,-5.371177636313366127654548115112985799257246800213237821210247332515855088009676e-01, 1.717594351382583044255625800537256465707317503858879328775643262154903765789907e-01 
4.2, 6.401139640116658401575699507820627910168866024266824758092357974333331510138203e-01,-5.20455856046663378132468899849297042865020856519277220359575675922168421482028e-01, 1.61621043118076943012471731840735212551358046347931924934491092517731229018818e-01 
4.3, 6.361916526187637310885493293329147673565649593538986368543024722655487341640153e-01,-5.047666104750549409737880319105510417479828024300759351166931191446878474381102e-01, 1.522915810735492138971130236993390618864778668876865807113378353891424193830581e-01 
4.4, 6.324933130099342719553955885174045865797293069682236759280579065478189168199386e-01,-4.899732520397371036476480006614841798857057979039447256505514774421452836639545e-01, 1.43691158245923296933171337993650707828335375783013412862643977292350331145758e-01 
4.5, 6.290015841052206670163758303098380433207556159769479098155334518741552359705248e-01,-4.760063364208826831807084283901362043472779155221564810222917569732212929927931e-01, 1.357522937664657075745764691422456877184611893955681409511773138546727444467065e-01 
