Densidad de estados ,Tiempo de ejecución, 87.95 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  6, 1, 0, 12231, 0, 18, 1 
  E_i, E_f, S, DOS 
  -2.0, -1.75, 234.0, 4.216079246208328874118691759609435149656723697773296741762675816252511392172892e+101 
-1.75, -1.5, 236.5, 5.13623599547802191731510516331568523437431835949406278320642253304026801504205e+102 
-1.5, -1.25, 270.5, 2.996797203953843538443031338196613826712160105600432515174467485435452700057546e+117 
-1.25, -1.0, 277.5, 3.286387182941477058084172995373906156285614143298419023156678196520197099330095e+120 
-1.0, -0.75, 284.5, 3.603961156247916564432744832024946937173017466126612708517971133090164519086446e+123 
-0.75, -0.5, 293.0, 1.77126359923757003153470584160464145102210967620423129414805417487456098997669e+127 
-0.5, -0.25, 307.5, 3.511989309555187706961862040266435143839344124288874099641172911178635458143908e+133 
-0.25, 0.0, 308.0, 5.790291477135094778361695172898998279006193024919696288720269611889356417992188e+133 
0.0, 0.25, 306.625, 1.464014956670505795771033355243846096362052290808000967113256797909083324674344e+133 
0.25, 0.5, 306.0, 7.836307370806225343172196949344845828825722413092150421204901928088197520213324e+132 
0.5, 0.75, 305.0, 2.882816376419848626953355204155918388902215417484561219018829831698213557717229e+132 
0.75, 1.0, 293.78125, 3.868795389622890185997621553377893507567419427170378755198078803783441942396342e+127 
1.0, 1.25, 290.25, 1.132330935325526821682841793988079357595755699658947301304982550283494491255699e+126 
1.25, 1.5, 243.9619140625, 8.939496772085386118503848944197266192343495188091477150491692201544299561578809e+105 
1.5, 1.75, 172.0028076171875, 5.010374864885663305937548048929707071851752907579964949700432449404864933372578e+74 
1.75, 2.0, 166.7548828125, 2.634665204825575433034106226439128775851503010369103301154385070665972461243866e+72 
2.0, 2.25, 149.81866455078125, 1.162570505076316830259201040201633722147545638562773371601514014114518000000007e+65 
2.25, 2.5, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
