Modelo de ising,Fecha, 04-05-2018 21:06:41 
 ,Tiempo de ejecución, 87.95 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 12231, 0, 18 
 
T,M,E,CV 
0.1, 9.471040189125370132059187097992334100927625759768677990165352159647082053274029e-01,-1.874999999999999999999999999999999999997504412267357688111003746783087699785643, 2.246028959378080263717843724451447334886430060362046281540743392633461255115268e-36 
0.2, 9.471040189125370131794778556347306481907402201009707152771887722817843926172488e-01,-1.874999999999999999912815549540204596426242241091169604308660812598151729251377, 1.961715658943916491648779190502851898098749910294919407255041308500738061774294e-17 
0.3, 9.471040189021479053556785621263748063161809685744680579218725787008955522208005e-01,-1.874999999968594278919400178048832858427983307749990686060198103132266037331139, 6.252644419880170041514207197736420868665138845732888051452959845907231962872447e-09 
0.4, 9.470703459731095616525063449292250022925556829964768865698235941969865057247800e-01,-1.874898285967694503000591326495709565270208660270491919368425147739403225385981, 1.144047345512090153457060604849410593725161293992590290028186160496080618704865e-02 
0.5, 8.440682198883124097309788557209855655942016855659765464325754948850143664987694e-01,-1.563765777102996664267260744777499743384729843688871844675029148021083284013264, 8.460333346884352185212614739986407398808767411699732205293106905057125377515206 
0.6, 7.817935761263581283868096945008717434981483467742128934844139358105766423502889e-01,-1.375666573001878037413216079292822418084783136434735943218256079673148939343694, 3.956820901966062811535557113944718246671559722627819848130235087551249571299551e-02 
0.7, 7.813116645520385212075294827332054333912716133501155339748503694168544536202276e-01,-1.374292830825493396714764139613023716006715773278986880940354490029810275354197, 1.362806979974324422313783887335116920955575308495247387858191136829341608091055e-02 
0.8, 7.800615360011025797486814617704915841232892430650196010612135655878173430190981e-01,-1.371045982758886778519126865041487808001651248730497794354484296495952310853894, 7.036753553654875581290652896042302329914304025923035409389766871081829780948674e-02 
0.9, 7.556130436418012876086381884952502994570647389636494507375786562719019355570134e-01,-1.317053253193041397292265392852058814138740862438791054354565161851271537837218, 2.020782510149685343016826764994850915353962185395947300488720404052141444460947 
1.0, 4.494943534282241265720898607098840915095150387291086849595755771620654227120213e-01,-6.616669428360671745166455669599504573069025917691159812912288710761836411412125e-01, 7.066229269627052481992155085123492681247149026403829746639432280307693892587344 
1.1, 3.232087780025676995560545104613918121667783601389961701356656648070497821492997e-01,-3.92755701480993851829929610891526406882055305283780606101405167448317409020279e-01, 4.803426699433662197423607973779070016821121483248374019840841622765188166650754e-01 
1.2, 3.155271750780954827175608075007844227681073024407781965331356111127750615427763e-01,-3.764889662789613742438784915373428963275724097297584056191461714072869887339439e-01, 3.533816498130672685290236809223271943349550862136840699609473351106562239632438e-02 
1.3, 3.148129906267067767500657885895996180321993249867342926640362692398243284146162e-01,-3.749391790860059096357822436243147516043849992780505661399188261081821835356027e-01, 6.49984719794240487306691508193102937428601858012881934730216757089102377094013e-03 
1.4, 3.146250369625285653133907339374707568672143995255272637168085739574636095837558e-01,-3.744625065654946675590570257869738572411905767887979556624416601911131864714468e-01, 4.042956470759864496784574291539870543629378748055748327247155437042593799240542e-03 
1.5, 3.144832139232764510625737678524131527654182374416198915957248800430534895024059e-01,-3.740472243756201442077557320810588133748667585243263200668273981113036252211238e-01, 4.425091214771193316527278141665455767283189434232174152930940775389844805772964e-03 
1.6, 3.143252632472437289684011826832778130585114436439945296891413172693787372106712e-01,-3.73560416306876895442596970201665404645364987170185895846066699047479695612165e-01, 5.356820173209121688180952967624204324037022940472082855554447129844340185090846e-03 
