Densidad de estados ,Tiempo de ejecución, 709.62 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 194408, 0, 12 
  E_i, E_f, S, DOS 
  -2.0, -1.625, 0.6931471805599453, 2.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.625, -1.25, 5.894196985247445, 3.629252799999999999999999999999999999999999999999999999999999999999999999999992e+02 
-1.25, -0.875, 12.340043542864633, 2.286719088700000000000000000000000000000000000000000000000000000000000000000001e+05 
-0.875, -0.5, 15.954194543841195, 8.488259605760000000000000000000000000000000000000000000000000000000000000000066e+06 
-0.5, -0.125, 18.30102681923182, 8.872274310736999999999999999999999999999999999999999999999999999999999999999965e+07 
-0.125, 0.25, 19.407762048724006, 2.683391031011900000000000000000000000000000000000000000000000000000000000000008e+08 
0.25, 0.625, 19.33172750282557, 2.486924381556799999999999999999999999999999999999999999999999999999999999999997e+08 
0.625, 1.0, 18.28749227333338, 8.753001082088000000000000000000000000000000000000000000000000000000000000000028e+07 
1.0, 1.375, 16.336534021380256, 1.244132338912999999999999999999999999999999999999999999999999999999999999999999e+07 
1.375, 1.75, 13.47424459266932, 7.108698163600000000000000000000000000000000000000000000000000000000000000000043e+05 
1.75, 2.125, 9.879365442278695, 1.952333004999999999999999999999999999999999999999999999999999999999999999999996e+04 
2.125, 2.5, 5.387071130755258, 2.185623099999999999999999999999999999999999999999999999999999999999999999999998e+02 
