Densidad de estados ,Tiempo de ejecución, 121632.34 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  10, 1, 0, 2426293, 0, 40, 1 
  E_i, E_f, S, DOS 
  -2.0, -1.8875, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.8875, -1.775, 5.5792694091796875, 2.648780200000000000000000000000000000000000000000000000000000000000000000000017e+02 
-1.775, -1.6625, 11.806198120117188, 1.340808318899999999999999999999999999999999999999999999999999999999999999999992e+05 
-1.6625, -1.55, 17.103973388671875, 2.680163332728000000000000000000000000000000000000000000000000000000000000000006e+07 
-1.55, -1.4375, 22.389404296875, 5.291694203608259999999999999999999999999999999999999999999999999999999999999995e+09 
-1.4375, -1.325, 25.717025756835938, 1.474899325997572399999999999999999999999999999999999999999999999999999999999989e+11 
-1.325, -1.2125, 30.76318359375, 2.292349753737579461999999999999999999999999999999999999999999999999999999999991e+13 
-1.2125, -1.1, 35.60334777832031, 2.899595902766729372699999999999999999999999999999999999999999999999999999999986e+15 
-1.1, -0.9875, 40.56465148925781, 4.140037759132496460841000000000000000000000000000000000000000000000000000000014e+17 
-0.9875, -0.875, 44.87959289550781, 3.097130781731016357056703000000000000000000000000000000000000000000000000000009e+19 
-0.875, -0.7625, 47.61576843261719, 4.778212739608386722312831099999999999999999999999999999999999999999999999999997e+20 
-0.7625, -0.65, 51.41813659667969, 2.140981889792511081018035837000000000000000000000000000000000000000000000000012e+22 
-0.65, -0.5375, 54.65043640136719, 5.424790398745253123251145507699999999999999999999999999999999999999999999999984e+23 
-0.5375, -0.425, 57.24583435058594, 7.270260468289307858997526214150000000000000000000000000000000000000000000000017e+24 
-0.425, -0.3125, 59.40016174316406, 6.268483242685679920344103300473999999999999999999999999999999999999999999999987e+25 
-0.3125, -0.2, 60.56736755371094, 2.014065136974039941209279819183900000000000000000000000000000000000000000000013e+26 
-0.2, -0.0875, 62.026031494140625, 8.660903750378706429547402615571200000000000000000000000000000000000000000000053e+26 
-0.0875, 0.025, 62.78321838378906, 1.846738061765907164291645486299169999999999999999999999999999999999999999999997e+27 
0.025, 0.1375, 63.189422607421875, 2.772155278635763265640291323794030000000000000000000000000000000000000000000011e+27 
0.1375, 0.25, 63.40086364746094, 3.424878979446389129312581225380520000000000000000000000000000000000000000000015e+27 
0.25, 0.3625, 63.43525695800781, 3.544720974050613805860985941353269999999999999999999999999999999999999999999996e+27 
0.3625, 0.475, 63.047607421875, 2.405625399285413278149631763959520000000000000000000000000000000000000000000008e+27 
0.475, 0.5875, 62.52049255371094, 1.420054204221634327039124064601969999999999999999999999999999999999999999999991e+27 
0.5875, 0.7, 61.751983642578125, 6.584847819364196624795631754815599999999999999999999999999999999999999999999953e+26 
0.7, 0.8125, 60.782379150390625, 2.497191580304805264982132866937200000000000000000000000000000000000000000000012e+26 
0.8125, 0.925, 59.2650146484375, 5.476067991315105866826861008932999999999999999999999999999999999999999999999988e+25 
0.925, 1.0375, 57.68516540527344, 1.128103698813076390696949697310999999999999999999999999999999999999999999999992e+25 
1.0375, 1.15, 55.84843444824219, 1.797491741894187246379416354589999999999999999999999999999999999999999999999995e+24 
1.15, 1.2625, 53.83375549316406, 2.39719272378776993307267254379999999999999999999999999999999999999999999999999e+23 
1.2625, 1.375, 51.33439636230469, 1.968997079539414259188367781000000000000000000000000000000000000000000000000006e+22 
1.375, 1.4875, 48.955352783203125, 1.824061905195555650378088950000000000000000000000000000000000000000000000000005e+21 
1.4875, 1.6, 46.3475341796875, 1.344244734716056396343025000000000000000000000000000000000000000000000000000002e+20 
1.6, 1.7125, 43.68077087402344, 9.339373754287112039745340000000000000000000000000000000000000000000000000000015e+18 
1.7125, 1.825, 40.54168701171875, 4.046047306409656390944699999999999999999999999999999999999999999999999999999994e+17 
1.825, 1.9375, 37.46875, 1.872713618906224085756999999999999999999999999999999999999999999999999999999999e+16 
1.9375, 2.05, 34.325469970703125, 8.07908536549913267100000000000000000000000000000000000000000000000000000000001e+14 
2.05, 2.1625, 31.06298828125, 3.093744199201117337000000000000000000000000000000000000000000000000000000000001e+13 
2.1625, 2.275, 27.275680541992188, 7.009346824690975400000000000000000000000000000000000000000000000000000000000013e+11 
2.275, 2.3875, 23.619918823242188, 1.811341794028935999999999999999999999999999999999999999999999999999999999999996e+10 
2.3875, 2.5, 20.095458984375, 5.337611351381400000000000000000000000000000000000000000000000000000000000000019e+08 
