Modelo de ising,Fecha, 07-04-2018 14:32:13 
 ,Tiempo de ejecución, 16121.84 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
 
T,M,E,CV 
0.1, 9.999999999999999995621878462854020005900834152543392597734468959179194138631848e-01,-1.997619047619047654200509740965885295178178538332482941040247969099284967313344, 1.447704166217079321545700093465658604508708177525829344702691687238722017755691e-11 
0.2, 9.999999991136644717581534355055593486606456367815432114917815310091222784304771e-01,-1.997619045719758070592579034190496704524955313834573860124888964906076275454623, 2.03498851020529014866994523119278637330928686589803025526709604683283781311911e-07 
0.3, 9.999988786930633327747310372023766497766552061136746251124737441419698000790244e-01,-1.99761664615104750945498360923058182431828454099873480897282494651839812896201, 1.142982335892749104310762790165652880177114768904406814959066937803017134588011e-04 
0.4, 9.999600465832826444436646774111182560565773099134737951281808613447511097089322e-01,-1.997535090013276563644310876630855296856921929663699864746332798617695503436617, 2.209415791706005458327858629245105121145700773196054641801320225946219422887987e-03 
0.5, 9.996553589368370654881751437189388466188476572188400972471985555898392011238377e-01,-1.996986801073753250037551113590095636518208494381460414475296858452184797739159, 9.408708135887055846057190282772583468564595734379979506892561524068013640023958e-03 
0.6, 9.985238762338222016497600621939471011226667419737626418693512858465814978208681e-01,-1.99575765142100437790109891032877350659476568658348512521230733090442715145019, 1.360631612810450486143962779557978655411600548567658352668842343294853881237533e-02 
0.7, 9.957985271406228356033080503161100750975646377346633182900377331332345687176405e-01,-1.994541157468416805521826000459608136069403852310699499689064410190233657723497, 1.012362593890680505863834198289416559922558132318845811490126869673240104528827e-02 
0.8, 9.907707533206673166010672346220935629013044428638692234663239939008872959576429e-01,-1.993715306086030802008950162380962800525170508395547801301970294299671455407568, 6.861479663142983898167742232481069647262365648931431482283488631254647342246303e-03 
0.9, 9.827251781651330216126346947025229937631994940705665835432695709865857950039544e-01,-1.993057786642701510755338909646410262854641247724149653395430567591649395802856, 6.865927064696302520372631226654628903906429530590708824948522232501171769867104e-03 
1.0, 9.704453038237492228794324060400070617090924280547214093219410732320170082643647e-01,-1.992222676868536551748282256349186625889163688754497266292954000734994057111614, 1.048152831624693456159237495494242445663526094395193679130333172961753124323852e-02 
1.1, 9.514735538317792671876120573616970906299959241152479051654836918377481196035551e-01,-1.990811950527693079885749771970811284951389811782801772031108237267962231720902, 1.862382237495836782515863065840569407962159559749330812577169875067075414850147e-02 
1.2, 9.214747093574945580643554102559144825885635582770106934318242424125102112372141e-01,-1.988273397793715288202383040111921209378749971556772078080710937610058262989997, 3.363504767371134118795872183298511466919661947765195035924840905135379260095256e-02 
1.3, 8.740340475862101766905661899790541927606118716141111071278467145335358402518471e-01,-1.983563136124458713473857239330657037463171603388308882908928299123874511867477, 6.568541927611402342281952599370239553986730044447228095295518302872691131020037e-02 
1.4, 7.985210017192013787033545582720231816693409126625082181580511440549772181910054e-01,-1.972878942368760907998151585078210652566610337299524040012840046502553067833586, 1.657823632809602069761616639034436008226483885263496258415175038775559978961852e-01 
1.5, 6.921370744817685767369716943270852333304395014525927271933112720534218844796442e-01,-1.949632104357736535692360102303935210845108953445761431185743558200795261082101, 2.687259123547929491075826891709540722441306192943529116358834385536113537691192e-01 
1.6, 6.12266809273429446755414474871097920608908926710289596095291114018820950321524e-01,-1.925574426597616599464023717382149049085283053503893860293749756745221419124421, 2.176924395541044477535351967297499301512912844592691046090192440182201006570197e-01 
1.7, 5.902474942650866272709671627161224854672763592548352412626770334093041711313295e-01,-1.899600905170328378227111003983296550800559029747969719907397523631046818218417, 3.304999516678030330593369350073588146356225327295628795768104910761470059642174e-01 
1.8, 5.911792292529195741019347462518119261896935289850475474029393375381249601072172e-01,-1.860030604734822228966204633005889650809534279500237069363469812580285674204154, 4.450439823848345060807458880200792302772938079177683632049436672120144240221021e-01 
1.9, 5.631587342176931896456552378926246818348904556094524457903591704651577200163487e-01,-1.809680352758035468209618331903699697481746114229598831038504493553471651992996, 5.718414390591371177992201047413702525743377721497051129009867476906143856975524e-01 
2.0, 5.500447800977026941423389079432992065377866378213680428672195521518538690455038e-01,-1.745830317610691154885920261155940604892679849281170550571321766205929383241909, 7.060988616371039310231448954092062850075660464699661181355470831200098190355541e-01 
2.1, 5.359463078807727023922674866622362068930280393141648274029807385333834970678401e-01,-1.665751140964536201583936394273357755100586334299959427032671459491499233142407, 9.162925302616486494007256644054255270649656876505168621078283435077462593664135e-01 
2.2, 5.182026099036949596498115625240832325655022691646192526000237857001220714004387e-01,-1.557115634904723759638714768261433471923543421683649730836264403487300178141959, 1.309866548746396299937632529233674090848506802572604804883785792858489333496381 
2.3, 4.941537982179859086774608646673659641674065281199857806004102596810901416714717e-01,-1.395809191766045458397047253664482463753020158243806603020067412684893037102481, 1.815050881437610834548922088739082650860011170274870558703139451742404117321536 
2.4, 4.696882150241002815469807501459150643849365413977454473347325814226660781287951e-01,-1.233981536947642899672127848032594811260805489827131538032575100441794308354228, 1.340162012311771129675034960307067992069356465997439570366436439214205282769403 
2.5, 4.50867604121683065832170769211129115227677277944261806413224518365697630665645e-01,-1.119265124448589585734669087513950023049472194216163639298612472256236242306428, 1.007338912770597697031862932075669781906767915221465262018088867417236486485324 
2.6, 4.360236511975997777918485469972643802524552164764756687288975267227787849002536e-01,-1.02959892383038711931669608485244835904760871196029812880131696225779462998784, 7.863618149096156730469624655455271086279196812696945260601510330631306629995148e-01 
2.7, 4.253283679835388004954736788573319403291183074087066599192711171592203245011419e-01,-9.600500021239657342124051370943007553320501475751898551369066053417313491530482e-01, 6.197679778426732736036486826513770633413360420514160449210550589711271674902222e-01 
2.8, 4.166571941647037547551319672335340330240412586468250762216101975365563980286418e-01,-9.034196621959132471672610394078656525655028456182006162898923651764155243113113e-01, 5.186702340884621656297409932122008329310609495144739832385253083420748467106504e-01 
2.9, 4.091806138067015001441212765667647158459989335855272831667001501604589781951244e-01,-8.55635355122329530373087461442675292852524540143298965009562002706028337424004e-01, 4.399879015888402660515900278841691540696245421583277597602262794373479397412573e-01 
3.0, 4.038560541818424068715598918475417778729825030816881958402499239141707952209694e-01,-8.147315657868643807402021081424379518873907956800937271786064167054192819762764e-01, 3.817143609414668144416845036713282733255975386457390307989584489527615322795718e-01 
3.1, 3.988066978017282298500747664085949184781071041446809230288310858204988999178447e-01,-7.786445048043014531559824785378995146450232617883861477562713756693376587225929e-01, 3.42690975480568966832903569025037360809132621295587654246748793098994656651114e-01 
3.2, 3.93378610344224518518150018500631820867874983589257627144178992411247481165596e-01,-7.457881442215813203453013490449588132697883725280822033909951887560749538039093e-01, 3.158461023208837571460418466142486069259451435319072184462427187599926109803905e-01 
