Modelo de ising,Fecha, 05-04-2018 12:18:13 
 ,Tiempo de ejecución, 43.3 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 1000000, 10000, 12.0 
 
T,M,E,CV 
0.1, 9.999999999999999999999999856460734599165621303591892474050569878322810279289868e-01,-1.916666666666666666666666623604887046416353057744234408881837630171972998738394, 2.583706777215018314549464360272063045283219707424969882033328393779438335502963e-23 
0.2, 9.999999999998466071288842084048548063094435211245523178529630589956122908917869e-01,-1.916666666666206488053319291881231089424727395286186641515499958271741925598847, 6.902679200216045982474016514789308210193033530093410606712269884339170550606026e-11 
0.3, 9.999999966212971127082683398781150903564906867722376743164274737944370592517062e-01,-1.916666656530558004791512602284289930068874238782804885093438062787536010747162, 6.757405891573808485714326944204545442633616030831527250570859404324289968600263e-07 
0.4, 9.999994985547510512583727637357222662617109790909275758719517966609157127412817e-01,-1.916665162330919954195552124412715312857360490812219111525443131078346924793723, 5.641273544499645666466534577997849797043236245164939416436818562656526242972283e-05 
0.5, 9.999899277088951693596386610962174325453957570051114392286984817249493658664253e-01,-1.916636449794435791679595993773023847673484512218167618084845459286589865644194, 7.252423249963258502991943281545800748912783777714400277778893729887735218995774e-04 
0.6, 9.999255506868419133497625272179424434217024870527166077385320938985308836017776e-01,-1.916443319163809552589366728238020201180370810443922634619913779902806017752189, 3.723867929126812501663344377519501487955012081813417540906729455527576226365511e-03 
0.7, 9.996889636295990367704514339977034087644195152898206642772356594244433973382146e-01,-1.915733589132612681046233462954992900993946298678029989223580410198796889913991, 1.144309080672275492427767644909539038126392086943431718890512992238913347986515e-02 
0.8, 9.990890652325278663274630956635375251734557871968961490155111460598673291813604e-01,-1.913934639120923681269952101909760348732883882861166101064836920976341129680136, 2.572185289146707659753418099534611568370769969901185262051641028253262051358156e-02 
0.9, 9.978904783256034938546144893784222410120036096450175587299643359053107969237136e-01,-1.910347348970701781008562008253113790151108708346060955835092066716724035484353, 4.721833878351290007611736509361552999673194503630428710079742645021918472101839e-02 
1.0, 9.958444430842142829531727375163758906475171133873387982731704760993217938022676e-01,-1.904265719031609672237518317083423904634680212679626249925570949869974977767825, 7.543859193472859039488023441664129397051772566799913199059140283064855906984508e-02 
