Densidad de estados ,Tiempo de ejecución, 82.61 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  10, 1, 0, 1000000, 10000, 40.0 
  E_i, E_f, S, DOS 
  -2.0, -1.95, 1102.7316589355469, 8.133444278954220934741616080243085410074056075189641981173615886403667777216045e+478 
-1.95, -1.9, 1107.4371490478516, 8.991722309372128192878528483869192542940453349908505226466993511372613841371888e+480 
-1.9, -1.85, 1108.1089324951172, 1.760332593860631138170816340847271504266738605543681876941912844329379031754733e+481 
-1.85, -1.8, 1111.3358459472656, 4.436346263929820824050467088106561397556620894118677250387642625000774376230584e+482 
-1.8, -1.75, 1115.1624908447266, 2.03664905180236787753562490334760091289150506632427260568552162941913500905792e+484 
-1.75, -1.7, 1116.7219696044922, 9.686998207225415356293219399136663198142046462547582021365356327591218195004893e+484 
-1.7, -1.65, 1118.7979736328125, 7.723004951318957687774126158706276441908251518717399600747536573294230771006984e+485 
-1.65, -1.6, 1120.5369720458984, 4.395656308882829983045824020721158877838077968933104167995862497657624701842228e+486 
-1.6, -1.55, 1124.1927490234375, 1.701012466554731207566073591900519113697884448014949825788914092250548736924692e+488 
-1.55, -1.5, 1125.7877960205078, 8.383543183668889300485565167345179656807584217392150991344758628060420280567936e+488 
-1.5, -1.45, 1127.4773712158203, 4.541515385591881070106309112913459738457990671087518397889941251732669903826145e+489 
-1.45, -1.4, 1129.2250366210938, 2.607367401875775894345608396054000548811960617313142395318036899046017468169022e+490 
-1.4, -1.35, 1132.830307006836, 9.592929788357959358431888533086146623794622029775150187085102067832450083312173e+491 
-1.35, -1.3, 1134.3483123779297, 4.377363597830249235290698835100097061864478386235889024213585801362414828966576e+492 
-1.3, -1.25, 1135.9804077148438, 2.238837748152256193027006340056677854982034560035509878517565158501864263245806e+493 
-1.25, -1.2, 1137.6499481201172, 1.188761704705473122050370870038768250708155617757388292673335711411787590103028e+494 
-1.2, -1.15, 1141.0381317138672, 3.520174920906146752874697477774288138210505075032280881801090740354882322006519e+495 
-1.15, -1.1, 1142.4684753417969, 1.471480764764282658319966455158142617983537035858736245232972268585635163538635e+496 
-1.1, -1.05, 1144.1109313964844, 7.604386648984747648268595117187032852498610870557807970654794353461924600780099e+496 
-1.05, -1.0, 1145.7066192626953, 3.750270777296655701868682599966673108329731048413583952925793148149727773054328e+497 
