Densidad de estados ,Tiempo de ejecución, 54.29 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  6, 1, 0, 5056, 0, 18, 1 
  E_i, E_f, S, DOS 
  -2.0, -1.75, 97.933837890625, 3.405064849774165893612968357372132633170382799079999999999999999999999999999988e+42 
-1.75, -1.5, 101.28581237792969, 9.724547697668241725033438317265345932715581235452999999999999999999999999999988e+43 
-1.5, -1.25, 104.54226684570312, 2.524234026770146240814183038979684937089903265980189999999999999999999999999999e+45 
-1.25, -1.0, 107.33256530761719, 4.110937192520430297236637046952879951320440121081749000000000000000000000000014e+46 
-1.0, -0.75, 110.91390991210938, 1.476723007013995583145867102019027718951555032729630210000000000000000000000009e+48 
-0.75, -0.5, 116.5, 3.938285003690865196898341361430903984949491644083268157499999999999999999999986e+50 
-0.5, -0.25, 116.0, 2.388690601424991425462639294944161166061981296456468729699999999999999999999985e+50 
-0.25, 0.0, 118.5, 2.91002088258491058236207484685076055197595014036320645041999999999999999999999e+51 
0.0, 0.25, 122.0, 9.63666567360320127176387301419422412338666657466729312588999999999999999999992e+52 
0.25, 0.5, 125.5, 3.191225391561861166263846925972146657546405967072986201785219999999999999999974e+54 
0.5, 0.75, 121.5, 5.844933188440638622977644310333664866223392102819283481996999999999999999999989e+52 
0.75, 1.0, 120.0, 1.304180878393632279733879028098648811344607941575513272830999999999999999999996e+52 
1.0, 1.25, 70.0, 2.515438670919167006265781174252112960000000000000000000000000000000000000000006e+30 
1.25, 1.5, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
1.5, 1.75, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
1.75, 2.0, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
2.0, 2.25, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
2.25, 2.5, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
