Modelo de ising,Fecha, 04-05-2018 21:04:26 
 ,Tiempo de ejecución, 54.29 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 5056, 0, 18 
 
T,M,E,CV 
0.1, 9.456942882139834299298147218198411994493679403126824940366561723840253196845908e-01,-1.874999999999999999999999999999999999994149666003969330076841318878863337159908, 5.265300596427601907852671106886740393801133423179541986974521547232122181713604e-36 
0.2, 9.456942882139834298720076686202491612602320866604713360925988240136436621646121e-01,-1.874999999999999999795622846405844644876514820428319706485221643990401619163491, 4.598485955868494599917402206818246308581524744861852263360996595265445894850855e-17 
0.3, 9.456942882137944576686532709573478007008585066913256343805567224779880789511008e-01,-1.874999999999331887534362845098146016412575406057937776643526316681939634140007, 6.681124656386151066722345499588661535949233188924972902910350332029001874635847e-11 
0.4, 9.456942878723135647483299981057058395772684879569245080013440146410900878769231e-01,-1.874999998792024319730490870533269155333567987287467818689379663206963689106223, 6.794863228366104242487337145108394499912192010004156173806951664075076354547044e-08 
0.5, 9.456942574578275148450535832695461410828022817540865377898373362222594501328881e-01,-1.874999891261456332140796489720068238280836104041261866984732041283271876919894, 3.914588964482674335310771300049866642131053254048540448134527195011474034863886e-06 
0.6, 9.456936704543411263049750976240463959495688480855346248757071855260788868787917e-01,-1.874997815913138922922935752630328371333631437281036318833098830718737844845683, 5.460256162993149293838021278673404236117960940053795661642352721148332555605903e-05 
0.7, 9.456890221940470677985719920430538717157493621204864475980724156031501128260429e-01,-1.874981382374817575060952302950122241944633639751999451455294566937059186386805, 3.419772035421838640165033700497463787510100339036494687676048363288710878595653e-04 
0.8, 9.456680097466327141289901754245673479425227423177305285554049454307943197060777e-01,-1.874907102716169824049060426819545270935346534241146813029976718554604479273618, 1.306764737768357701372489331897653913715982757123039707370695854872141843816158e-03 
0.9, 9.456024724901066605066117846204846688972316650491323153524611921178503575827507e-01,-1.874675511472689563750249210494619164536869975223777601747717231325331703714731, 3.609244980915227285117020836878932052618356608764704973036248777746990286742314e-03 
1.0, 9.454440865199001364062826169814499838936936799246901923819194783814287347458959e-01,-1.874116344931219278313597074081726030880404379580307279653527554176118318389901, 7.975720382796930725215154628845555529028979179802188923100796793226826070684347e-03 
1.1, 9.451244217166460646075632446020566826447559465831123300148456083288681750297187e-01,-1.872990032865304534954834695263133517812330227073992790052895035565816827129965, 1.504691195912370662309905431860127631783245105176927038229270666627808983157338e-02 
1.2, 9.445576660689759155554469868612155061768627561805526733883645362171346110922305e-01,-1.871000235093319126086331820544931439997499906645558849164927574232911087108261, 2.531584022640819293542631696324906288566458825575145558714535775343585430742942e-02 
1.3, 9.436431201704480637004725077734024573074141485107359580209391215114153145353204e-01,-1.867807670219642191181937033984264244592869565547145871023398522333204460421114, 3.915971110083611096787655101434322340936926706777118835695879770207031750651083e-02 
1.4, 9.422651572856576596990360800675861348357478291178444136201013615488734657572225e-01,-1.863037338811717604530363375113575657176422297054586674870684716646648376161134, 5.69369688514904901582832482384759947606999532524958861194974625567246512167138e-02 
1.5, 9.402881644959510250108821956727266612599242169767058449083159627787970734500885e-01,-1.85627207261297074551234250262466332443372379511614555688232588389508739956772, 7.917975019630751346825428517865908793367970505819459641864800243615211744303134e-02 
1.6, 9.375388654340979958294358088683260653707710976618543001785437861410244371225659e-01,-1.847014358461381362403968335919201714039447472382859375552907495955990789303345, 1.070932826987519009937378405664636274888992498450673558446859431245408333217091e-01 
1.7, 9.337531928334935566065007055526414516187624296158079572863196944465742819081974e-01,-1.834563354541164772034555001291796780047821524046090378930563312141993708233687, 1.438592768593342423620663450911824537364607799552157511424658525478377170080672e-01 
1.8, 9.284383611345809163008698446534985108182504531603984846825669491220811927697469e-01,-1.817693534287124262381321896995487623392403482075647578167162660390366295031875, 1.973933423677140549672215259596964905407549068460228128827351810981040511752053e-01 
1.9, 9.205801997473228365712583191549755131499619954394717434823529826074164603284634e-01,-1.793978875627248926439986393150333105760217600486358866413013767657839325770813, 2.845262884444835211888948345018095421513877498276082138631944441225470230678958e-01 
2.0, 9.081719816298707547164455049300106742449268118437416955714076004401697313591184e-01,-1.75872717439777624070468934327510007178822232921176492718306507165983688543662, 4.337212245283278095322093976418494210211024442331079072800595157306283971899181e-01 
2.1, 8.877822478983019323402917480688953424454374285361993370452743982966313111883205e-01,-1.704065910219078247443604817675893789671985153797464831446787933959333743417795, 6.771296642294107230529716167589090392177295319551590523061894715279237210513545e-01 
2.2, 8.549215114928665717970413559675008982175730370352741051870131165719453127080608e-01,-1.619963036638147651562645802549061469927079675787926909626394787815728564243553, 1.017847289961776893445141427966432025458751466461728352892334839871960741207403 
2.3, 8.063359106643855282334919488657221111939202320484108611999768628772392018493583e-01,-1.49969364992658240022207862113834886741775304891971778360751042346823757967283, 1.379485341081891528926579889196732135961241588146363920376149118319169911176702 
2.4, 7.43814753459154210242872114466944028916535885168024489046772947641023102820055e-01,-1.348494945789004280771413045773715953720278654662986276279934778223154927954528, 1.609698490298292553048662491808266089494211731353649437394969233013190529361612 
2.5, 6.754950953338200345376910275283700520065385831374960191697505685130956725581094e-01,-1.185964200709358977524788006184545501390404599276446811948338959013765710116214, 1.599508313464618410199981173437215482401018878711884137683532317985925342244692 
2.6, 6.114789762439395278188258071552926698040123088569207815019589047714152588741728e-01,-1.035370129920081027959726707432691360882491575617216281570801929146338772855957, 1.389222036966025909596166256743252298162316319206515614815262581053016866491351 
2.7, 5.580456462893365680193885854954956063747275016501142049075211689097540421967487e-01,-9.104070505559744562482064444582779298166643551027374867876209852187213249152359e-01, 1.108949340762703745551250255162260114205546408410509346479154612441414167862454 
2.8, 5.162040226822239013684125411984027718274872295528050007550966871768839679745448e-01,-8.124017025426817240054139702133510639681486179836048711965323954033831441262747e-01, 8.616740091620732633176422980929000389443283761432010565764934499173793204768491e-01 
2.9, 4.83826861291463210767934197448204489314366935852519609023829422623937489717375e-01,-7.356174921029618678179386584116732331178365119949555122321368439323847105560348e-01, 6.867037935795878726640961140303477531538733060303715086329161555939953107055175e-01 
3.0, 4.579694178297915196269429877120279634489648478939563006827481066404914494695196e-01,-6.726851488296446901788822170523538742383791064838317873462338939352986300151909e-01, 5.825838241540996756653697298011451486966138540470271804807562639155436144352849e-01 
3.1, 4.360478633185279310040360069400863745783823801225165109245289510916169870816424e-01,-6.172733684895723761044082270660624626018152712849903702178231354878343248607274e-01, 5.332631315926278112450681970946790022526901485626931906559701956663178522558971e-01 
3.2, 4.161687716712476629464670300414910128845341714809101057134410130887156436455997e-01,-5.647997124309351639171038893610021476719805502246199707252665581926116326591679e-01, 5.210155868544605257401200395399091894039498365875021730668723473324079862308141e-01 
3.3, 3.971028736936906765772742199198612292620984863764932289518860813804512186909618e-01,-5.123511275018349363643780252221529850300485191610148381143696688627655586891036e-01, 5.304421248581267225125883777403664096632471421926655854933261614132805156078531e-01 
3.4, 3.781651403883761171780934063575651245914997581001095053443041000790874327475969e-01,-4.584066010129186197793325369129405581591269709236980928960932993123617248551111e-01, 5.49105180959973760853626794539383674879104544382604011497511327076243127460495e-01 
3.5, 3.590883075651852955856901697020570351461857466828301974588659417511600648111996e-01,-4.025434815776771893039643996123811786439944754894973209722994088697005842467039e-01, 5.674620627634086113555631710857638788052231852075432335293287540871361321739908e-01 
3.6, 3.39905432822903942425406602349421007103839283342729153131117937953426466442863e-01,-3.451500950782655737612906690887010467550697873607790873114487948748498161282088e-01, 5.788370853843079613293966102582056039122203358520169491513452072996660480356204e-01 
3.7, 3.208409012028777006821365744938142403160134454988010931194458304903027927696236e-01,-2.871398052738146182129631997843372938619340705189977400059562179072494774692128e-01, 5.793876370740931373076442753685279290528196586917620354608289727714108556699754e-01 
3.8, 3.022121416393021648819314380029763691655079780164601372180191693928733615998868e-01,-2.29677285694330943752055001698129189894915705806409055933164631857230003713493e-01, 5.678666783715276379832283782084505046683358422848415108975122384558212401127442e-01 
3.9, 2.843485851164714783361079668133593499624153959913872367342840898332049858217456e-01,-1.739427358659394394882144492393185922894257581754575103801271290109652168762832e-01, 5.451031668981481676022726922641666505786292124843578871465937917322029446839748e-01 
4.0, 2.675341449461714940363126935758029739055575367142476622270731916741339888706838e-01,-1.209590831383639212587564959003218287990932452145642212185595364669262281861896e-01, 5.132869194724307436590668563547639769167887555817839473576539544197840271441765e-01 
4.1, 2.519752746948712279787679343909296162421103329383194085660814651725651817635201e-01,-7.149333604819899755571549964610376670591970325227243336583800281245737306485905e-02, 4.752308727183242333612401764231228509416218487376647222587695398030165644116491e-01 
4.2, 2.377915456637886500766856675924890674516664069167566293705631646074448880237789e-01,-2.602607931490204384855947133193050135238017994164325364107898825463568651089946e-02, 4.337663305517215720522450288191761763888095353381699596739798388531294473361389e-01 
4.3, 2.250223131054382864312525334000499455867181848076760834620051943129348049673387e-01,1.522881884456787253626461758661038940967498974547434562432398961608104160772256e-02, 3.913491371987058271992460873757676873219167452182315982177711900064422063253341e-01 
4.4, 2.136422652567972901155084766590616884374052132404281699911221723431137144609735e-01,5.227583929535867702224403329609662275211516232453633601387198483785037890837907e-02, 3.498747468122812575220355031440193465793168227352728461273281666750301452504414e-01 
4.5, 2.035798508365604573898708951521863245455067595944839201342786166369844860407637e-01,8.527939461498575256202947516438699401964337863728899268178717276783227671988757e-02, 3.10651712082581075869407513206319073011997048302533242951904856882452244727263e-01 
4.6, 1.947346187014973846800469257100620728168602274552160350090901231524148012725076e-01,1.145080142341460779171513067723739006908984768193890120331862595560978713081667e-01, 2.744699977566793795619076837684407449047914927884767252412101791005917284703825e-01 
4.7, 1.869914610073680776847725004905909438464247681532580115045402068770496177148876e-01,1.402877831769594520195200455371654856146068043940334735325354841208920970343919e-01, 2.417101735762025862566989705317230707085252563717881993391152575043947962946421e-01 
4.8, 1.802311823255351793198083470660925238723741292891397380587912944663623050109489e-01,1.629671678387834375707941694939872731080662914800208631756328538340834786284907e-01, 2.124574882298583207208665881563506795039986551270434142783833303639021267305721e-01 
4.9, 1.743376558599479757775732154665474856748616463027161196049381735434380785340288e-01,1.828926375139304632895611500619374960022666567771454671923298115674425333271088e-01, 1.866016892979674248193456830817839960893392671219109978993879878117536931798384e-01 
5.0, 1.692022004882306236520900582802980986686861473614195834077422707796013619486338e-01,2.00393223191888876290586922460406975823403438111703743926107350433569533492098e-01, 1.639154876668569560557848147676390050985852228849940569263093842318269765394805e-01 
5.1, 1.647258904293080658429275892015197150324474090364240187970380872991269125474048e-01,2.157718332979191018397051316008254757803194459746901263331204327088751096684119e-01, 1.441115809748640864751962548301081932683417612378190078497671593914140052342414e-01 
5.2, 1.608204361149104017422586274790243606690097899826258650921854164540705689638328e-01,2.29301325624011360480629055296777802018104031708693909951453160775896103641994e-01, 1.268814142301617380883210642749414735524780371661698943403074925946174835507371e-01 
5.3, 1.574081450140491978154768116399596728474731950123818468517821626820586236557631e-01,2.412237143963853879309978471880499451636372497418161191408131316233536853274976e-01, 1.119198160171702013379575732069310290431988995071054413715259429034938331369373e-01 
5.4, 1.544213370039681817789309756195286418898411481525015309680831903203630382478577e-01,2.517513004817732095295641965466431007790590429256603435105333631719324923022948e-01, 9.893942687757800011825965322708596162035536807942612580071081229886728488407383e-02 
5.5, 1.518014737856882761369930001898220230973032850821140369510384576651142929897193e-01,2.610688716232249260323984695804394170514310311064231492945089714577026494588116e-01, 8.767814252013204208213078067197684343384618949259492359577354714725436917361164e-02 
5.6, 1.494981725813890750882364564202454934609115957186416602944848943571886119797553e-01,2.693364025431675171143618200815335815333776283658662929457153965283434338365775e-01, 7.790201282845451464073702874882059898510958112254376030282534553524604704463678e-02 
5.7, 1.474682095973655381343758925270235482224510890347496719359032947623403757569371e-01,2.766918930038377820919521762317829754983686142537763817133285391482248048212831e-01, 6.940534233737718898902185625960348260003751504174702324659326082657203668165836e-02 
5.8, 1.456745740786712987563347390375963747032134688521539080106405268948603050694006e-01,2.832541276253304765441780924122179812640788994129596304943889596686117511625697e-01, 6.20091856081204261083990609628442036739759970804953371917082964701999223230974e-02 
5.9, 1.440856042933708585145449805656072316572152639112012678787304253942714751451047e-01,2.891252390198667808145112545330898044364581037362689497841198874584645181725902e-01, 5.555902148302551086583654485231233419632635935913502760245160816672120441082678e-02 
6.0, 1.426742181294808164209173840548460330987993967639430154199789596509519213457128e-01,2.943930188454921162163514736457324297173971971866920564187530675739511913779491e-01, 4.992210082553395891433477782341413128276639730668095337567327744692077064563924e-02 
6.1, 1.414172397529724817486998895660754560520874285644719740488482995972263981126449e-01,2.991329603330376247123636537951925801964699181829288443659107538108824463685698e-01, 4.498476530225037476066626512176211410265650745258863766041619751154381112087661e-02 
6.2, 1.40294817446993178481873755428517781350181162007857356063052930824621142658077e-01,3.034100386321150973933549412276629231899513163514110162965443851279607601310007e-01, 4.06499048258488903852895300646454761331920384525086074049081376215946007354953e-02 
6.3, 1.392899245618221396334419714779381806089671422814740756390221274156086168181636e-01,3.072802476109128745205627118580865502035661308673702595944059247369935836649031e-01, 3.683463822824142564547254611107370867327510027881362469564547919663277898652488e-02 
