Modelo de ising,Fecha, 17-04-2018 21:01:21 
 ,Tiempo de ejecución, 2100.49 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 442437, 0, 12 
 
T,M,E,CV 
0.1, 5.555555555555555555555555555555555555555555555555555555579928830179724820093152e-02,-1.812499999999999999999999999999999999999999999999999999998354803962868574643713, 2.221014650127423799631812684518933776148262776717208812425515086749693263075076e-54 
0.2, 5.555555555555555555555555560588143933955859910271030093649776504864142900696625e-02,-1.81249999999999999999999999966030028445797945605670546867864008592167035420298, 1.146486539954319113058862081745687863655244594049889289092813235124793681487482e-25 
0.3, 5.555555555555555585300780200205159556704767084463075560932611337168699989285358e-02,-1.812499999999999997992197336486151729922428221798742411097516185407406415689587, 3.011703995270772556259359493874565884625832249683230913374913871945779684486762e-16 
0.4, 5.555555555557842366039620849501334210458665801923897626091838288377121614936056e-02,-1.81249999999984564029232559265865994079924770007413957127134185356213580850089, 1.302410033504131169532783158890164525426324005391181509885413169597306702584168e-11 
0.5, 5.555555557508626089396110512096240827119359002666592461195737823099923092737891e-02,-1.812499999868167738965762540436747919777729607514918052489720204248879472192835, 7.118942102008504899376859247867857372631161334653094397022689939742053609826397e-09 
0.6, 5.555555731365375780734609129017773443809168026515293786987531192435274791192534e-02,-1.812499988132837134800416250146029522861021858858895887227352828827295603748816, 4.450186421063851579506218788395731869857674817778466064653136938221099671780656e-07 
0.7, 5.555559930680768869683730021581992877193977997394171680716650003776644215293683e-02,-1.812499704679048101332816832835639043649653090885545716192594506474930700019431, 8.136409343195362043959911443298853263060368510895866405416731318567945669849081e-06 
0.8, 5.55560430379499072022031004467358715800943452671713973198787536597203179309291e-02,-1.812496709493838176827540535476998687318159140844359648174928859873777144216782, 6.941061324975140198522808895281937299370961654156774263856150126146694321303294e-05 
0.9, 5.555873471903673168310103495728706273066010294734371755899961359701975378242125e-02,-1.81247854064651604681679451814855233134299351257617040314623455581904009047724, 3.577062438167622280184019517548187116350053349656473226047531969744249814371595e-04 
1.0, 5.556981056018846933794499206915730584375128501629041463986856447284491017610127e-02,-1.812403778719986558569268175477575668904074647726951134520536291105391280238162, 1.299806080397005435726816737977365469450966807509481645135549631560889346380539e-03 
1.1, 5.560426626596490084577133934646383508553117121133486389724859812977266126441222e-02,-1.812171202754704065607224043485654274471821599653632895467197836605732754184003, 3.676264628621044617873714069425297950749912698767682892327282322374914154552991e-03 
1.2, 5.569152510288252058633187848046187684597859627405209130985876689313092455201413e-02,-1.811582206628474805194906730321558788954196118343066051120603122614737275527758, 8.655225551469642966141422611287024106500361893419687242292540936867311454193245e-03 
1.3, 5.588122931062177957419111725862911194817942954486661896055945751652164615961319e-02,-1.810301716500094972510255680414828067096929472440338866988567075938238383034218, 1.78031185740125599280418888742583156282409867216871949472772906827487237453466e-02 
1.4, 5.624967968188046263309359234142252173195453847499843205447902501779972621915418e-02,-1.807814794171767636035546427691394033985840056634459153719919774267357878195259, 3.317902952256341477940547167112223332352157818498544471876495705720531932038913e-02 
1.5, 5.690885904202516746478350825299196577674193138391572395232931687921125281443922e-02,-1.803366100500081370015671931509876535807120628166760413411298511006748404348722, 5.758548022659316528363673007591850820079320718589180313055095250074624266122869e-02 
1.6, 5.802005859466165043305559743278771015616423756694678638703276283955737056334369e-02,-1.795869383295765858708346421754565896789485839861424495053543246061327610764288, 9.488012425196058137495958549860581653694513635669436315726207595240373317986945e-02 
1.7, 5.98108605325289240089786116768282988509847228944701403446582978693781842789024e-02,-1.783797320650185025848889855466140374169043729360629408476116715527241995018941, 1.499656079788338001551755580550628018043912535285985685004146480836023496860975e-01 
1.8, 6.258643099881336509426779249887352262678398653760539661678504425951905939864603e-02,-1.765116059914209169864518772663514408997081832340220964064014521753477286964429, 2.277754309730808336297863087461138056545072074388830910982620374451659005061067e-01 
1.9, 6.671526435783282143341735756051048261927864566682352257541027288545972015775809e-02,-1.737401628677279650706359776117667945701849315982079416268806895460951586768337, 3.30573455658319821304585292720205532837440185854131219755494244360131932095403e-01 
2.0, 7.256377368819451855819493057306785477235249128530803829940944881312174523026305e-02,-1.698309118170544759154133965915354785378563953638288820394708515733128434749533, 4.53779812597580838480660294044050222398445586613006632372204195625907389104995e-01 
2.1, 8.037013233178698887767860060463929063429597781394234389293586900869451507548082e-02,-1.646445583399159324147765434487630900327210514730504639219387893133064145286528, 5.826772571652828573285066226964789171886509792812155641721506833204487356067968e-01 
2.2, 9.009716006474156341560651513085748470397221556149503074948545031948543101253237e-02,-1.582352805784050695390869389809088260786591460770986817891727206516969615835942, 6.942058100543061250077693121997030940920015122793327943805549615309193070662486e-01 
2.3, 1.013581352388706038660811196676235216942507426022225339135280698035935402935278e-01,-1.508948854275817645610277769283867923219530892053706604559502013792703039762704, 7.65813751176685826744053916553424394903078128272991888358349987940849638851513e-01 
2.4, 1.13495019325043224666720812780412473387465821411658732653391928122159100297907e-01,-1.430910149447978904717048018529015864657018304874045260645542283808876479221376, 7.863869936300626460697067770680109329434618230443422744059571057965042100341258e-01 
2.5, 1.257815335429858512789497515297697775288970064957199951817976604927702523340311e-01,-1.353231046761946222518155145787688682686073226783981481043954602090163543797634, 7.605426980282800426126327074555153078285171903322264565976648488512319396819503e-01 
2.6, 1.376264921097950627045038086267804702015454370674965536225195492509156765269959e-01,-1.279841040748734979171303094431753149456805987043595253900282265172316927462203, 7.035639323635988333137789637097397950348926893172738209031927083596257545215544e-01 
2.7, 1.486729255326810717312489165576457015183913401787318206017588588299648769347675e-01,-1.212978104610882383290281050158664152825785827524740469225273445672077281378779, 6.326331803544919626036732882209130156657854385395636043302277617201279369706406e-01 
2.8, 1.587849151178221348102544952487342547383395539726255273705204854230976501081764e-01,-1.153336895185321356334965993375800573443300328043671962847955997517102495003258, 5.608285080801827760685991675610957431735996408881734960544717968422798864595747e-01 
2.9, 1.679774579339258305994559548711785061582460980048124254034069337570862658315649e-01,-1.100589157448190541695039323589035457426541443054343964783512899725485996287109, 4.955686702603798512131983939451598412832456599843434543908981310923738018139085e-01 
3.0, 1.763430162533465376600171670730749249944511133208978537156613957641394800165911e-01,-1.053905429358823844843325698876976173574220035786410833373421142841581670890976, 4.397520599894217530652992892009155942450653596714782464485404347394782038812673e-01 
3.1, 1.839993266279202049768963742274858378613436676834114195290135553858287183969832e-01,-1.01231666915928686565139846426213607532454743170404750452430425542470857344402, 3.935576063954735747721951670561496738720926328167897832686851862333028994713612e-01 
